# Logfile created on 2020-11-10 11:49:37 +0100 by logger.rb/56815
I, [2020-11-10T11:49:44.658828 #20436]  INFO -- : lab.rism: Source #240511 moved 787 to 599 with content 'Art 29. Hier legt mein Sinn sich vor dir nieder; (OCoLC)946157738'
I, [2020-11-10T11:49:44.734272 #20436]  INFO -- : lab.rism: Source #240512 moved 787 to 599 with content 'Art 109a. Ach Jesu, meiner Seelen Freude.; (OCoLC)946157738'
I, [2020-11-10T11:49:44.828725 #20436]  INFO -- : lab.rism: Source #240513 moved 787 to 599 with content 'Art 69. O wie sehr lieblich sind all deine Wohnung'n; (OCoLC)946157738'
I, [2020-11-10T11:49:44.917567 #20436]  INFO -- : lab.rism: Source #240518 moved 787 to 599 with content 'Art 114. Mein Salomo, dein freundlisches Regieren; (OCoLC)946157738'
I, [2020-11-10T11:49:44.994002 #20436]  INFO -- : lab.rism: Source #240550 moved 787 to 599 with content '(OCoLC)891758998'
I, [2020-11-10T11:49:45.100859 #20436]  INFO -- : lab.rism: Source #240551 moved 787 to 599 with content '(OCoLC)891758941'
I, [2020-11-10T11:49:45.167045 #20436]  INFO -- : lab.rism: Source #240552 moved 787 to 599 with content 'Art 112b. Voriges, auf eine andre Weise; (OCoLC)946157738'
I, [2020-11-10T11:49:45.224941 #20436]  INFO -- : lab.rism: Source #240555 moved 787 to 599 with content 'Art 169. Ermuntre dich mein schwacher Geist; (OCoLC)946157738'
I, [2020-11-10T11:49:45.291494 #20436]  INFO -- : lab.rism: Source #240561 moved 787 to 599 with content 'Art. 119. Fahre fort. Zion fahre fort im Licht.; (OCoLC)946157738'
I, [2020-11-10T11:49:45.351226 #20436]  INFO -- : lab.rism: Source #240562 moved 787 to 599 with content 'Art 199. Ein' vest Burg ist unser Gott; (OCoLC)946157738'
I, [2020-11-10T11:49:45.423214 #20436]  INFO -- : lab.rism: Source #240566 moved 787 to 599 with content '(OCoLC)891757957'
I, [2020-11-10T11:49:45.485392 #20436]  INFO -- : lab.rism: Source #240575 moved 787 to 599 with content '(OCoLC)891754627'
I, [2020-11-10T11:49:45.485469 #20436]  INFO -- : lab.rism: Source #240575 moved 787 to 599 with content '(OCoLC)891753322'
I, [2020-11-10T11:49:45.575380 #20436]  INFO -- : lab.rism: Source #240578 moved 787 to 599 with content '(OCoLC)891759126'
I, [2020-11-10T11:49:45.641540 #20436]  INFO -- : lab.rism: Source #240584 moved 787 to 599 with content 'Art 39A. Ich rühme mich einzig der blutigen Wunden.; (OCoLC)946157738'
I, [2020-11-10T11:49:45.706869 #20436]  INFO -- : lab.rism: Source #240588 moved 787 to 599 with content '(OCoLC)891759071'
I, [2020-11-10T11:49:45.765655 #20436]  INFO -- : lab.rism: Source #240590 moved 787 to 599 with content '16a. Glück zu, Kreutz, von ganzem Herzen; (OCoLC)946157738'
I, [2020-11-10T11:49:45.827700 #20436]  INFO -- : lab.rism: Source #240591 moved 787 to 599 with content 'Art 242. Heilige dir deine Leute; (OCoLC)946157738'
I, [2020-11-10T11:49:45.887367 #20436]  INFO -- : lab.rism: Source #240592 moved 787 to 599 with content '(OCoLC)891759496'
I, [2020-11-10T11:49:45.951594 #20436]  INFO -- : lab.rism: Source #240594 moved 787 to 599 with content 'Art 249. Die Gottes: Seraphim erheben ihre Stimm'; (OCoLC)946157738'
I, [2020-11-10T11:49:46.023205 #20436]  INFO -- : lab.rism: Source #240606 moved 787 to 599 with content 'Art 22e. Herr Gott, dich loben alle wir; (OCoLC)946157738'
I, [2020-11-10T11:49:46.107237 #20436]  INFO -- : lab.rism: Source #240622 moved 787 to 599 with content '(OCoLC)891757251'
I, [2020-11-10T11:49:46.182896 #20436]  INFO -- : lab.rism: Source #240625 moved 787 to 599 with content '(OCoLC)923869724'
I, [2020-11-10T11:49:46.254768 #20436]  INFO -- : lab.rism: Source #240638 moved 787 to 599 with content 'Lititz Congregation Collection L 0; (OCoLC)891752687'
I, [2020-11-10T11:49:46.254841 #20436]  INFO -- : lab.rism: Source #240638 moved 787 to 599 with content 'Lititz Congregation Collection [273.122]; (OCoLC)891758359'
I, [2020-11-10T11:49:46.362102 #20436]  INFO -- : lab.rism: Source #240644 moved 787 to 599 with content 'Art 151a. O Haupt vol Bllut und Wunden.; (OCoLC)946157738'
I, [2020-11-10T11:49:46.444578 #20436]  INFO -- : lab.rism: Source #240646 moved 787 to 599 with content '(OCoLC)891755720'
I, [2020-11-10T11:49:46.517008 #20436]  INFO -- : lab.rism: Source #240647 moved 787 to 599 with content 'Lititz Congregtion Collection L 137.1[a].; (OCoLC)891755998'
I, [2020-11-10T11:49:46.593160 #20436]  INFO -- : lab.rism: Source #240653 moved 787 to 599 with content '(OCoLC)891763711'
I, [2020-11-10T11:49:46.651081 #20436]  INFO -- : lab.rism: Source #240657 moved 787 to 599 with content '(OCoLC)891755720'
I, [2020-11-10T11:49:46.709286 #20436]  INFO -- : lab.rism: Source #240660 moved 787 to 599 with content '(OCoLC)891757718'
I, [2020-11-10T11:49:46.767991 #20436]  INFO -- : lab.rism: Source #240665 moved 787 to 599 with content 'Lititz Congregation Collection L 96.4; (OCoLC)891755381'
I, [2020-11-10T11:49:46.827704 #20436]  INFO -- : lab.rism: Source #240675 moved 787 to 599 with content '(OCoLC)891752710'
I, [2020-11-10T11:49:46.991686 #20436]  INFO -- : lab.rism: Source #240678 moved 787 to 599 with content '(OCoLC)891755949'
I, [2020-11-10T11:49:47.100765 #20436]  INFO -- : lab.rism: Source #240689 moved 787 to 599 with content '(OCoLC)891755683'
I, [2020-11-10T11:49:47.207017 #20436]  INFO -- : lab.rism: Source #240691 moved 787 to 599 with content 'Art 132a. Allein Gott in der Höh sen Ehr'; (OCoLC)946157738'
I, [2020-11-10T11:49:47.316578 #20436]  INFO -- : lab.rism: Source #240699 moved 787 to 599 with content 'pp. 299-300; (OCoLC)505259526'
I, [2020-11-10T11:49:47.401873 #20436]  INFO -- : lab.rism: Source #240743 moved 787 to 599 with content '(OCoLC)891757326'
I, [2020-11-10T11:49:47.496332 #20436]  INFO -- : lab.rism: Source #240744 moved 787 to 599 with content '(OCoLC)891757300'
I, [2020-11-10T11:49:47.569835 #20436]  INFO -- : lab.rism: Source #240768 moved 787 to 599 with content 'Lititz Congregation Collection L 109; (OCoLC)891755612'
I, [2020-11-10T11:49:47.681165 #20436]  INFO -- : lab.rism: Source #240769 moved 787 to 599 with content '(OCoLC)891760579'
I, [2020-11-10T11:49:47.770532 #20436]  INFO -- : lab.rism: Source #240828 moved 787 to 599 with content 'Art 75a. Auf meinen lieben Gott trau ich; (OCoLC)946157738'
I, [2020-11-10T11:49:47.915581 #20436]  INFO -- : lab.rism: Source #240839 moved 787 to 599 with content 'WS-NC Music Scores Printed MSPR 8 v.3; (OCoLC)54325058'
I, [2020-11-10T11:49:48.003384 #20436]  INFO -- : lab.rism: Source #240850 moved 787 to 599 with content '(OCoLC)891757868'
I, [2020-11-10T11:49:48.124417 #20436]  INFO -- : lab.rism: Source #240855 moved 787 to 599 with content '(OCoLC)891754858'
I, [2020-11-10T11:49:48.204387 #20436]  INFO -- : lab.rism: Source #240856 moved 787 to 599 with content 'Lititz Congregation Collection L 40.1; (OCoLC)891754105'
I, [2020-11-10T11:49:48.277695 #20436]  INFO -- : lab.rism: Source #240860 moved 787 to 599 with content 'Lititz Congregation Collection L 81[b].; (OCoLC)891755031'
I, [2020-11-10T11:49:48.376857 #20436]  INFO -- : lab.rism: Source #240861 moved 787 to 599 with content 'Lititz Congregation Collection L 81[a].; (OCoLC)891755045'
I, [2020-11-10T11:49:48.459998 #20436]  INFO -- : lab.rism: Source #240870 moved 787 to 599 with content 'Lititz Congregation Collection L 44.2[a]; (OCoLC)891754131'
I, [2020-11-10T11:49:48.553757 #20436]  INFO -- : lab.rism: Source #240871 moved 787 to 599 with content 'Lititz Congregation Collection L 449.1; (OCoLC)891762990'
I, [2020-11-10T11:49:48.628486 #20436]  INFO -- : lab.rism: Source #240872 moved 787 to 599 with content 'Lititz Congregation Collection L 44.2[a].; (OCoLC)891754131'
I, [2020-11-10T11:49:48.628574 #20436]  INFO -- : lab.rism: Source #240872 moved 787 to 599 with content 'Lititz Congregation Collection L 44.2[b].; (OCoLC)891754300'
I, [2020-11-10T11:49:48.685366 #20436]  INFO -- : lab.rism: Source #240888 moved 787 to 599 with content 'Lititz Congregation Collection L [34.2a]; (OCoLC)891753866'
I, [2020-11-10T11:49:48.784511 #20436]  INFO -- : lab.rism: Source #240900 moved 787 to 599 with content '(OCoLC)891756597'
I, [2020-11-10T11:49:48.858128 #20436]  INFO -- : lab.rism: Source #240906 moved 787 to 599 with content '(OCoLC)891756174'
I, [2020-11-10T11:49:48.858195 #20436]  INFO -- : lab.rism: Source #240906 moved 787 to 599 with content '(OCoLC)891760315'
I, [2020-11-10T11:49:48.936954 #20436]  INFO -- : lab.rism: Source #240934 moved 787 to 599 with content '(OCoLC)891756917'
I, [2020-11-10T11:49:49.008560 #20436]  INFO -- : lab.rism: Source #240936 moved 787 to 599 with content '(OCoLC)891755202'
I, [2020-11-10T11:49:49.121480 #20436]  INFO -- : lab.rism: Source #240942 moved 787 to 599 with content '(OCoLC)891757022'
I, [2020-11-10T11:49:49.227892 #20436]  INFO -- : lab.rism: Source #240943 moved 787 to 599 with content '(OCoLC)891756908'
I, [2020-11-10T11:49:49.330243 #20436]  INFO -- : lab.rism: Source #240968 moved 787 to 599 with content '(OCoLC)891755189.'
I, [2020-11-10T11:49:49.446288 #20436]  INFO -- : lab.rism: Source #240969 moved 787 to 599 with content '(OCoLC)891763039'
I, [2020-11-10T11:49:49.530769 #20436]  INFO -- : lab.rism: Source #240972 moved 787 to 599 with content '(OCoLC)891755536'
I, [2020-11-10T11:49:49.634844 #20436]  INFO -- : lab.rism: Source #240980 moved 787 to 599 with content '(OCoLC)891768536'
I, [2020-11-10T11:49:49.775283 #20436]  INFO -- : lab.rism: Source #240981 moved 787 to 599 with content '(OCoLC)891761516'
I, [2020-11-10T11:49:49.938680 #20436]  INFO -- : lab.rism: Source #240985 moved 787 to 599 with content 'Lititz Congregation Collection L 65.1[a].; (OCoLC)891754806'
I, [2020-11-10T11:49:50.047995 #20436]  INFO -- : lab.rism: Source #240989 moved 787 to 599 with content 'Lititz Congregation Collection L [73A.3].; (OCoLC)891754880'
I, [2020-11-10T11:49:50.048092 #20436]  INFO -- : lab.rism: Source #240989 moved 787 to 599 with content 'Lititz Congregation Collection L [391.1a]; (OCoLC)891761422'
I, [2020-11-10T11:49:50.157470 #20436]  INFO -- : lab.rism: Source #240990 moved 787 to 599 with content 'Lititz Congregation Collection L 101.1; (OCoLC)891755417'
I, [2020-11-10T11:49:50.157572 #20436]  INFO -- : lab.rism: Source #240990 moved 787 to 599 with content 'Lititz Congregation Collection L [391.1a]; (OCoLC)891761422'
I, [2020-11-10T11:49:50.271465 #20436]  INFO -- : lab.rism: Source #240994 moved 787 to 599 with content '(OCoLC)8958855'
I, [2020-11-10T11:49:50.395448 #20436]  INFO -- : lab.rism: Source #240996 moved 787 to 599 with content '(OColC)891761147'
I, [2020-11-10T11:49:50.483987 #20436]  INFO -- : lab.rism: Source #241013 moved 787 to 599 with content '(OCoLC)891755172'
I, [2020-11-10T11:49:50.569417 #20436]  INFO -- : lab.rism: Source #241019 moved 787 to 599 with content '(OCoLC)891756221'
I, [2020-11-10T11:49:50.628333 #20436]  INFO -- : lab.rism: Source #241021 moved 787 to 599 with content 'Lititz Congregation Collection L [386.2]; (OCoLC)891761307'
I, [2020-11-10T11:49:50.711196 #20436]  INFO -- : lab.rism: Source #241022 moved 787 to 599 with content '(OCoLC)891753771'
I, [2020-11-10T11:49:50.773634 #20436]  INFO -- : lab.rism: Source #241027 moved 787 to 599 with content 'Art 23. Schmücke dich, o liebe Seele; (OCoLC)946157738'
I, [2020-11-10T11:49:50.870181 #20436]  INFO -- : lab.rism: Source #241034 moved 787 to 599 with content '(OCoLC)891754079'
I, [2020-11-10T11:49:50.940393 #20436]  INFO -- : lab.rism: Source #241037 moved 787 to 599 with content '(OCoLC)891755537'
I, [2020-11-10T11:49:51.009290 #20436]  INFO -- : lab.rism: Source #241050 moved 787 to 599 with content 'Lititz Congregation Collection L [451].1; (OCoLC)891763038'
I, [2020-11-10T11:49:51.105328 #20436]  INFO -- : lab.rism: Source #241217 moved 787 to 599 with content '(OCoLC)210182564'
I, [2020-11-10T11:49:51.222229 #20436]  INFO -- : lab.rism: Source #241221 moved 787 to 599 with content '(OCoLC)891757899'
I, [2020-11-10T11:49:51.306512 #20436]  INFO -- : lab.rism: Source #241223 moved 787 to 599 with content '(OCoLC)210182564'
I, [2020-11-10T11:49:51.369147 #20436]  INFO -- : lab.rism: Source #241243 moved 787 to 599 with content 'Lititz Congregation Collection L 27B.2[a].; (OCoLC)891753663'
I, [2020-11-10T11:49:51.369219 #20436]  INFO -- : lab.rism: Source #241243 moved 787 to 599 with content 'Lititz Congregation Collection L [27B.2c].; (OCoLC)891753639'
I, [2020-11-10T11:49:51.459085 #20436]  INFO -- : lab.rism: Source #241244 moved 787 to 599 with content 'Lititz Congregation Collection L 27B.2[a].; (OCoLC)891753663'
I, [2020-11-10T11:49:51.459156 #20436]  INFO -- : lab.rism: Source #241244 moved 787 to 599 with content 'Lititz Congregation Collection L [27B.2b].; (OCoLC)891753637'
I, [2020-11-10T11:49:51.521609 #20436]  INFO -- : lab.rism: Source #241245 moved 787 to 599 with content 'Lititz Congregation Collection L [27B.2b].; (OCoLC)891753637'
I, [2020-11-10T11:49:51.521680 #20436]  INFO -- : lab.rism: Source #241245 moved 787 to 599 with content 'Lititz Congregation Collection L [27B.2c].; (OCoLC)891753639'
