# Logfile created on 2017-02-13 12:35:04 +0100 by logger.rb/44203
I, [2017-02-13T12:35:07.470232 #12085]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:40:46.174805 #12606]  INFO -- : lab.rism: Source #190026288 add tag 500$a with content 'Commment on scoring: bc: vlne'
I, [2017-02-13T12:40:46.182022 #12606]  INFO -- : lab.rism: Source #190026314 add tag 500$a with content 'Commment on scoring: bc: org, b'
I, [2017-02-13T12:40:46.187920 #12606]  INFO -- : lab.rism: Source #190101674 add tag 500$a with content 'Commment on scoring: bc: b, b rip'
I, [2017-02-13T12:40:46.193436 #12606]  INFO -- : lab.rism: Source #190101750 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:46.206583 #12606]  INFO -- : lab.rism: Source #200042662 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.231145 #12606]  INFO -- : lab.rism: Source #200043769 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.239247 #12606]  INFO -- : lab.rism: Source #200044615 add tag 500$a with content 'Commment on scoring: b=fag'
I, [2017-02-13T12:40:46.252147 #12606]  INFO -- : lab.rism: Source #200045862 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.283953 #12606]  INFO -- : lab.rism: Source #201007005 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.296546 #12606]  INFO -- : lab.rism: Source #201007020 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.321400 #12606]  INFO -- : lab.rism: Source #201007023 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.337958 #12606]  INFO -- : lab.rism: Source #201007044 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.345226 #12606]  INFO -- : lab.rism: Source #201007066 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.360329 #12606]  INFO -- : lab.rism: Source #201007088 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.367630 #12606]  INFO -- : lab.rism: Source #201007089 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.376798 #12606]  INFO -- : lab.rism: Source #201007090 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.435831 #12606]  INFO -- : lab.rism: Source #201007092 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.452825 #12606]  INFO -- : lab.rism: Source #201007096 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.465551 #12606]  INFO -- : lab.rism: Source #201008020 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.475984 #12606]  INFO -- : lab.rism: Source #201008021 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.486820 #12606]  INFO -- : lab.rism: Source #201008031 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.495669 #12606]  INFO -- : lab.rism: Source #201008033 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.517213 #12606]  INFO -- : lab.rism: Source #201008035 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.525195 #12606]  INFO -- : lab.rism: Source #201008042 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.540500 #12606]  INFO -- : lab.rism: Source #201008072 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.548790 #12606]  INFO -- : lab.rism: Source #201008076 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.573339 #12606]  INFO -- : lab.rism: Source #201008077 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.599854 #12606]  INFO -- : lab.rism: Source #201008583 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.607483 #12606]  INFO -- : lab.rism: Source #201008586 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.614368 #12606]  INFO -- : lab.rism: Source #201008627 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.620826 #12606]  INFO -- : lab.rism: Source #201008632 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.627488 #12606]  INFO -- : lab.rism: Source #201008638 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.641569 #12606]  INFO -- : lab.rism: Source #201008914 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.658675 #12606]  INFO -- : lab.rism: Source #210000001 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.666564 #12606]  INFO -- : lab.rism: Source #210000002 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:46.674303 #12606]  INFO -- : lab.rism: Source #210000003 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:46.689726 #12606]  INFO -- : lab.rism: Source #210000004 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.709675 #12606]  INFO -- : lab.rism: Source #210000005 add tag 500$a with content 'Commment on scoring: bc: vlc, org'
I, [2017-02-13T12:40:46.720217 #12606]  INFO -- : lab.rism: Source #210000007 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.733236 #12606]  INFO -- : lab.rism: Source #210000009 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.748612 #12606]  INFO -- : lab.rism: Source #210000010 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.764281 #12606]  INFO -- : lab.rism: Source #210000013 add tag 500$a with content 'Commment on scoring: bc: org, fag'
I, [2017-02-13T12:40:46.782314 #12606]  INFO -- : lab.rism: Source #210000014 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.794817 #12606]  INFO -- : lab.rism: Source #210000016 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.819748 #12606]  INFO -- : lab.rism: Source #210000018 add tag 500$a with content 'Commment on scoring: bc: fag, org'
I, [2017-02-13T12:40:46.831838 #12606]  INFO -- : lab.rism: Source #210000020 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.843197 #12606]  INFO -- : lab.rism: Source #210000025 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.856413 #12606]  INFO -- : lab.rism: Source #210000028 add tag 500$a with content 'Commment on scoring: bc: fag, org'
I, [2017-02-13T12:40:46.874678 #12606]  INFO -- : lab.rism: Source #210000029 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.887948 #12606]  INFO -- : lab.rism: Source #210000030 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.897425 #12606]  INFO -- : lab.rism: Source #210000031 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.909205 #12606]  INFO -- : lab.rism: Source #210000032 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.937446 #12606]  INFO -- : lab.rism: Source #210000034 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.949477 #12606]  INFO -- : lab.rism: Source #210000035 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:46.962794 #12606]  INFO -- : lab.rism: Source #210000037 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:46.972920 #12606]  INFO -- : lab.rism: Source #210000038 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.982739 #12606]  INFO -- : lab.rism: Source #210000039 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:46.994369 #12606]  INFO -- : lab.rism: Source #210000040 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.007006 #12606]  INFO -- : lab.rism: Source #210000041 add tag 500$a with content 'Commment on scoring: bc: org, fag'
I, [2017-02-13T12:40:47.016799 #12606]  INFO -- : lab.rism: Source #210000042 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.029630 #12606]  INFO -- : lab.rism: Source #210000044 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:47.040714 #12606]  INFO -- : lab.rism: Source #210000045 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:47.052727 #12606]  INFO -- : lab.rism: Source #210000048 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.065136 #12606]  INFO -- : lab.rism: Source #210000049 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:47.074899 #12606]  INFO -- : lab.rism: Source #210000050 add tag 500$a with content 'Commment on scoring: bc: vlc, org'
I, [2017-02-13T12:40:47.083845 #12606]  INFO -- : lab.rism: Source #210000053 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:47.092254 #12606]  INFO -- : lab.rism: Source #210000054 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.102456 #12606]  INFO -- : lab.rism: Source #210000056 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.111262 #12606]  INFO -- : lab.rism: Source #210000058 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.124072 #12606]  INFO -- : lab.rism: Source #210000065 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:47.130233 #12606]  INFO -- : lab.rism: Source #210000066 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.139974 #12606]  INFO -- : lab.rism: Source #210000071 add tag 500$a with content 'Commment on scoring: bc: org'
