# Logfile created on 2018-01-29 09:45:31 +0100 by logger.rb/54362
I, [2018-01-29T09:45:31.956347 #29979]  INFO -- : lab.rism: Size of collection --> 2346
I, [2018-01-29T09:46:02.498448 #29979]  INFO -- : lab.rism: 450300411: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:03.011785 #29979]  INFO -- : lab.rism: 450300412: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:03.270042 #29979]  INFO -- : lab.rism: 450300413: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:03.504446 #29979]  INFO -- : lab.rism: 450300414: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:04.103601 #29979]  INFO -- : lab.rism: 450300415: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:04.444995 #29979]  INFO -- : lab.rism: 450300416: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:04.695085 #29979]  INFO -- : lab.rism: 450300417: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:04.789511 #29979]  INFO -- : lab.rism: 450300418: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:04.956284 #29979]  INFO -- : lab.rism: 450300419: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:05.072922 #29979]  INFO -- : lab.rism: 450300420: =240  10$aMotets$kArr.$mV (3), org$03007091 --> Motets. Arr.
I, [2018-01-29T09:46:05.153179 #29979]  INFO -- : lab.rism: 450302623: =240  10$aIm Winter um St$kAndreäs$rE|b$04294267 --> Im Winter um St. Andreäs
I, [2018-01-29T09:46:05.420053 #29979]  INFO -- : lab.rism: 450302783: =240  10$aDer alte Jäger$kFragment$mV, guit$rG$04294704 --> Der alte Jäger. Fragment
I, [2018-01-29T09:46:05.694930 #29979]  INFO -- : lab.rism: 450302784: =240  10$aDer alte Jäger$kFragment$mV, guit$rG$04294704 --> Der alte Jäger. Fragment
I, [2018-01-29T09:46:05.769917 #29979]  INFO -- : lab.rism: 450302785: =240  10$aDer alte Jäger$kFragment$mV, guit$rG$04294704 --> Der alte Jäger. Fragment
I, [2018-01-29T09:46:05.853170 #29979]  INFO -- : lab.rism: 450302786: =240  10$aDer alte Jäger$kFragment$mV, guit$rG$04294704 --> Der alte Jäger. Fragment
I, [2018-01-29T09:46:05.972914 #29979]  INFO -- : lab.rism: 450303345: =240  10$aWer in dem Schutz des Höchsten ist$kArr.$03913262 --> Wer in dem Schutz des Höchsten ist. Arr.
I, [2018-01-29T09:46:06.178518 #29979]  INFO -- : lab.rism: 450304186: =240  10$aZum 29$kSeptember 1865$mguit$rG$04229006 --> Zum 29. September 1865
