"510 RISM Serie";"RISM-ID";"852 $a Bibliothek ";"852 $q";"852 $c";"856 $u";"856 $z";"856 $x";"691 $a";"691 $n";"500 Bemerkungen ";
"N 409";;"B-Bc";;;;;;;;;
"N 639 ";;"B-Bc";;;;;;;;;
"N 68";;"NL-BUkoopman";;;;;;;;;
"N 805";;"NL-DHnmi";;;;;;;;;
"O 330 ";;"NL-DHa";;;;;;;;;
"O 53";;"NL-At ";;;;;;;;;
"P 1011";;"NL-Ur ";;;;;;;;"  ";
"P 1222";;"NL-DHnmi";;;;;;;;;
"P 3421";;"NL-Areede ";"complete";;;;;;;;
"P 3427";;"NL-Areede ";"complete";;;;;;;;
"P 3433";;"NL-Areede ";"complete";;;;;;;;
"P 3438";;"NL-Areede";"complete";;;;;;;;
"P 3440";;"NL-Areede ";"complete";;;;;;;;
"P 3457";;"NL-Areede ";"complete";;;;;;;;
"P 5597";;"NL-DHnmi ";"vl 1, vl 2, bc";;;;;;;;
"P 5805";;"NL-BUkoopman";;;;;;;;;
"P 5829 ";;"NL-DHnmi";;;;;;;;;
"P 5977";;"NL-BUkoopman ";"vl 1, vl 2, vla, b";;;;;;;;
"P 631";;"B-Bc vollst.";;;;;;;;;
"P 709";;"B-Br ";"ohne B";;"http://uurl.kbr.be/1560773";"Digital copy";"Quellendigitalisat";;;"Beim Digitalisat handelt es sich um ein Konvolut mit P 700, P 709 ohne Bassus, P 712 und P 716";
"P 709";;"E-Bbc";"B, V 5";;"https://explora.bnc.cat/permalink/34CSUC_BC/1fpark4/alma991010330909706717";"LInk to record in local catalgoue";"Sonstige";;;;
"P 709";;"E-Bim";"S";;"https://hispanicpolyphony.eu/source/22873";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"P 710";;"E-Bu";"complete";;"https://hispanicpolyphony.eu/source/21778";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"P 710";;"E-Bbc";"ohne T";;;;;;;;
"P 711";;"I-Sac";"S, A, B";;;;;;;;"OPAC ICCU (SBN)"
"P 711";;"I-Vnm";"complete";;;;;;;;"OPAC ICCU (SBN)"
"P 712";;"B-Br ";"S, A, T, B, V 5, V 6 ";;"http://uurl.kbr.be/1560767@@http://uurl.kbr.be/1560769@@http://uurl.kbr.be/1560771@@http://uurl.kbr.be/1560773@@http://uurl.kbr.be/1560775@@http://uurl.kbr.be/1560777";"Digital copy (Cantus)@@Digital copy (Altus)@@Digital copy (Tenor)@@Digital copy (Bassus)@@Digital copy (Quintus)@@Digital copy (Sextus)";"Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat";;;"Digitalisat (jeweils Konvolut aus P 700, P 709, P 712, P 716. Der Bassus P 712 ist handschriftlich aus dem 19. oder frühen 20. Jh.)";
"P 712";;"E-PAMcap";"S, A, B";;"https://hispanicpolyphony.eu/source/22871 @@https://hispanicpolyphony.eu/source/22870 @@https://hispanicpolyphony.eu/source/22869";"Link to record in Books of Hispanic Polyphony@@Link to record in Books of Hispanic Polyphony@@Link to record in Books of Hispanic Polyphony";"Sonstige@@Sonstige@@Sonstige";;;;"dieselben Links wie bei P 719?"
"P 714";;"E-Bbc";"B, V 5";;;;;;;;
"P 716";;"B-Br ";"vollst. (B handschriftlich)";"Fétis 1.712 bis A";"http://uurl.kbr.be/1560767@@http://uurl.kbr.be/1560769@@http://uurl.kbr.be/1560771@@http://uurl.kbr.be/1560773@@http://uurl.kbr.be/1560775";"Digital copy (Cantus)@@Digital copy (Altus)@@Digital copy (Tenor)@@Digital copy (Bassus)@@Digital copy (Quintus)";"Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat@@Quellendigitalisat";;;"Digitalisat: Bassus handschriftl. 19. Jh. ";
"P 717";;"I-Rv";"complete";;;;;"FranchiR 2007";"p. 28-30";;
"P 717";;"E-Bbc";"ohne T";;;;;"PedrellB 1908";"vol. 1, p. 295";;
"P 719";;"E-PAMcap";"S, A, B";;"https://hispanicpolyphony.eu/source/22871 @@https://hispanicpolyphony.eu/source/22870 @@https://hispanicpolyphony.eu/source/22869";"Link to record in Books of Hispanic Polyphony@@Link to record in Books of Hispanic Polyphony@@Link to record in Books of Hispanic Polyphony";"Sonstige@@Sonstige@@Sonstige";;;;"dieselben Links wie bei P 712?"
"P 721";;"E-Bbc";"B";;"http://mdc.csuc.cat/cdm/compoundobject/collection/musicatedra/id/76071/rec/24";"Digital copy";"Quellendigitalisat";;;;
"P 722";;"I-Mc";"complete";"S. B. 107";;;;"BarblanM 1972";"p. 295f.";"@@Barblan gibt irrtümlich an, zum Stimmbuchsatz gehöre auch eine Orgelstimme. Diese hat sich aber als P 726 herausgestellt.";
"P 723";;"V-CVbav (Fondo Cappella Giulia)";"B";;;;;"LlorensG 1971";"p. 136-138, 369";"Es ist in einem Konvolut aus fünf Stimmbuchsätzen eingebunden (nach Stimmen sortiert, für den Bassus gibt es zwei Exemplare). Entgegen den Angaben in LlorensG 1971 handelt es sich beim zweiten Bassus-Exemplar nicht um P 717 wie bei den anderen Stimmbüchern, sondern um P 723.";
"P 725";;"I-TRsf";"org";;;;;;;;"WorldCat OCLC 797431334"
"P 726";;"I-Mc";"org";;;;;"BarblanM 1972";"p. 295f.";"Barblan wies diese org-Stimme irrtümlich P 722 zu.";"Siehe oben bei P 722"
"P 727";;"E-JA";"S, T, B";;"https://hispanicpolyphony.eu/source/17946";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"P 727";;"I-PCd";;;;;;;;;"OPAC ICCU (SBN)"
"P 728";;"V-CVbav  ";"V 5";"Casimiri.IV.931(int.8";;;;;;;"OPAC V-CVbav"
"P 731";;"E-JA";"complete";;"https://hispanicpolyphony.eu/source/18249";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"P 732";;"E-Bbc";"B";;"http://mdc.csuc.cat/cdm/compoundobject/collection/musicatedra/id/78641/rec/25";"Digital copy";"Quellendigitalisat";;;;
"P 732";;"E-Bu";"complete";;"https://hispanicpolyphony.eu/source/21782";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"P 735";;"E-Bbc";"B";;"https://mdc.csuc.cat/digital/collection/musicatedra/id/76598";"Digital copy";"Quellendigitalisat";;;;
"P 737";;"I-Rsld";;;;;;"AndraeR 1985";"p. 120";;
"P 737";;"I-Rsmt";;"st. mus. 670 B ";;;;"SimiBoniniM 2000";"p. 370";;
"P 737";;"A-Wnh";;;"http://data.onb.ac.at/rec/AC09296837";"Link to record in OPAC ÖNB";"Sonstige";;;;
"P 737";;"E-CU";"(ohne Titelblatt und die ersten 109 Folien)";;"https://hispanicpolyphony.eu/source/18044";"Link to record in Books of Hispanic Polyphony";"Sonstige";"Navarro-GonzaloC 1973";"p.332";"Im Katalog der Bibliothek ist es als anonymer, unbekannter Druck aufgeführt.";
"P 738";;"CO-B";"T ";;;;;"StevensonB 1962";"p. 308";;
"P 738";;"E-TZ";"unvollst.";;"https://hispanicpolyphony.eu/source/13461";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"P 738";;"I-AOc";"ohne B";;;;;"ChatrianA 1985";"p.  116f.";;
"P 739";;"I-FA";"A, B";;;;;"MoroniM 1996";"p. 76";;
"P 739";;"V-CVbav ";"complete";"Stamp.Chig.IV.2244(1-5)";;;;;;;"OPAC V-CVbav"
"P 745";;"I-VCd";"complete";;;;;;;;"OPAC ICCU (SBN)"
"P 745";;"E-Asa";"S, T";;;;;"VicenteA 1989";"p. 46f.";;
"P 748";;"I-CMac";;;;;;;;;"OPAC ICCU (SBN)"
"P 749";;"V-CVbav ";;"Stamp.Chig.IV.2243(1-5)";;;;;;;
"P 895";;"NL-BUkoopman";;;;;;;;"  ";
"PP 5070 I,58";;"NL-DHnmi";;;;;;;;;
"PP 733a";;"E-Bbc";"ohne A, T (ohne S. 24-32) ";;"http://mdc.csuc.cat/cdm/ref/collection/partiturBC/id/5542";"Digital copy";"Quellendigitalisat";;;;
"PP 745a";;"I-Sac";;;;;;;;;"OPAC ICCU (SBN)"
"R 1350";;"B-Bc ";"vl, vlc, cemb";;;;;;;;
"R 1545";;"NL-Uim ";;;;;;;;;
"R 165";;"NL-DHnmi";;;;;;;;;
"R 1679 ";;"NL-DHnmi";;;;;;;;"Verlag Simrock, Bonn mit Etikett überklebt Theune, Amsterdam";
"R 1861";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
