DNB,ID
2035854-4,58090
1704780-8,58107
124264-7,58122
1014089-X,58140
254685-1,58152
381375-7,58163
10081194-2,58169
35965-8,58170
864-3,58174
2130020-3,58176
5285597-1,58226
2028782-3,58246
5168743-4,58255
19904-7,58282
1052421-6,58288
5174466-1,58328
18614-4,58388
17585-7,58409
2035222-0,58451
74753-1,61689
3023768-3,61690
3023769-5,61691
3023770-1,61692
600619-X,61702
230027-8,61722
31359-2,61726
5007342-4,61732
5164001-6,61733
112470-5,61735
1018443-0,61773
10112479-X,61786
5031600-X,61802
65357-3,61803
82775-7,61804
1023921-2,61807
39234-0,61810
280044-5,61831
2117788-0,61909
500822-0,61923
2118686-8,61935
15809-4,61976
2020128-X,61977
7717407-0,62700
1050534328,62700
2092120-2,62701
15160-9,62712
672408-5,62749
5023482-1,63483
5023484-5,63484
1096660-2,63498
1099577-8,63506
2074676-3,63508
1215987-6,63509
5301157-0,63510
2100121-2,63518
38416-1,63520
2035961-5,63523
2117839-2,63526
1003700-7,63533
2015908-0,63534
38633-9,63536
1215059795,64032
2179456-X,64085
502214-9,64101
2036419-2,64142
10067349-1,64160
5299904-X,64207
2061065-8,64219
2061057-9,64220
10112902-6,64248
10090827-5,64275
2076236-7,64281
10112216-0,64363
2012853-8,64381
2025524-X,64497
2159036-9,64516
10102943-3,64528
5119448-X,64546
25100-8,64551
2123023-7,64633
63971-0,64698
11436-4,64753
2000536-2,64819
2002612-2,64820
2000457-6,64879
510600-X,64889
5164019-3,64890
2027984-X,64930
5006309-1,64931
11406-6,64938
2006552-8,64940
5039073-9,64958
63377-X,64967
2029700-2,64972
2011859-4,64984
2068948-2,65006
10050047-X,65057
1021064-7,65096
2126677-3,65105
504790-0,65127
37558-5,65161
37559-7,65162
2029585-6,65167
1022430-0,65208
24169-6,65258
2002255-4,65259
2152406-3,65298
5299712-1,65299
2047141-5,65318
120252-2,65339
111330-6,65340
11511-3,65347
11508-3,65348
11513-7,65349
37505-6,65355
17143-8,65421
2073215-6,65432
39233-9,65439
5057080-8,65455
263376-0,65527
37697-8,65585
10077042-3,65658
5033919-9,65675
2025079-4,65701
90492-2,65731
5055106-1,65732
2178936-8,65733
5150881-3,65798
10013434-8,65799
35984-1,65818
1020376-X,65820
26212-2,65822
5336017-5,65829
41168-1,65830
5026374-2,65842
10064424-7,65870
260897-2,65919
18516-4,65937
133086-X,66089
2025466-0,66147
19407-4,66182
2079465-4,66246
2028239-4,66258
2012184-2,66493
19913-8,66551
131051-3,66581
5113060-9,66649
67434-5,66726
2168747-X,66727
10017689-6,66896
2003911-6,66900
6040384-6,66936
5269947-X,66974
2019326-9,66984
1065497679,66984
400394-9,66990
2049596-1,67090
2029155-3,67097
2025920-7,67103
1228083-5,67105
2140922-5,67108
146225-8,67110
1602223-3,67116
46250-0,67130
2005331-9,67134
275671-7,67227
5300519-3,67228
1217758-1,67239
2028797-5,67247
10051430-3,67282
33813-8,67349
320187012,67354
5250803-1,67380
24375-9,67414
5032767-7,67416
116380-2,67503
5151296-8,67504
15030-7,67508
5351792-1,67538
1003698-2,30075936
2019442-0,67585
10137095-7,67586
10137099-4,67587
63154-1,51005413
10002126-8,69056
10069451-2,69058
2028808-6,69059
1213008-4,69060
112674-X,69155
112675-1,69156
5072463-0,69175
2141631-X,69286
10174801-2,69334
2137341-3,69360
2034919-1,69390
2149398-4,69391
30237-5,69395
1053341-2,69403
1049012-7,69404
1011964-4,69405
2035476-9,69418
5105225-8,69420
116493-4,69431
1213349-8,69439
2011763-2,69446
10128332-5,69453
2128020-4,69457
2011020-0,69462
10005992-2,69473
1035620-4,69486
5187302-3,69493
5225428-8,69692
277409-4,69760
1214451-4,69917
118749-1,69919
5119186-6,69921
35956-7,69937
2025034-4,69969
116332-2,69990
116539-2,69991
2020605-7,70034
2047050-2,70035
2019182-0,70051
5107361-4,70058
5004444-8,70063
26251-1,70082
1007830-7,70084
10069628-4,70091
5077926-6,70093
19763-4,70109
2020473-5,70110
1027423-6,70112
3013846-2,70120
2058319-9,70122
5035448-6,70135
5178634-5,70141
1039629-9,70152
10060143-1,70165
1020269-9,70175
5282708-2,70184
1703053-5,70191
5523399-5,70271
406060-X,70289
1098798-8,70290
1001775-6,70297
5052501-3,70346
500824-4,70366
10028418-8,70379
5130475-2,70386
1223253-1,70387
2148070-9,70398
2070951-1,70572
2001878-2,70657
1213433-8,70732
1073015793,71028
5253532-0,71329
235871-2,71462
2176024-X,71469
17996-6,71475
17995-4,71476
137328-6,71485
37990-6,71553
511144-4,71557
62726-4,71612
42861-9,71675
2024819-2,71720
5084439-8,71724
2151747-2,71732
65618-5,71743
5055622-8,71753
2042157-6,71757
10189248-2,71773
11316-5,71817
10135572-5,71875
37823-9,71905
5021634-X,71909
10094768-2,71912
2026533-5,71947
2037625-X,71963
3018741-2,71969
2016912-7,73708
10770-0,73715
65506-5,73722
43408-5,73742
1220989-2,73764
507840-4,73816
82660-1,73818
1097401-5,73835
1088331-9,73850
1048284-2,73851
5309910-2,73852
2120448-2,73887
5542131-3,73892
74833-X,73947
2018204-1,73955
2049634-5,73976
112928-4,74025
505994-X,74026
11561-7,74045
5097212-1,74054
5015253-1,74060
1092835-2,74066
5175672-9,74079
2011747-4,74081
506301-2,74089
5014506-X,74091
5014510-1,74092
5014593-9,74094
5014597-6,74095
2013301-7,74128
5285209-X,74134
5014750-X,74136
10183815-3,74138
1232041-9,74152
1232042-0,74153
5246444-1,74155
10004083-4,74156
5113065-8,74165
601111-1,74173
5053118-9,74190
5053251-0,74191
5118306-7,74195
3034888-2,74199
5153975-5,74207
5056504-7,74214
5024939-3,74217
10343725-3,74218
10139968-6,74225
600921-9,74228
2070148-2,74229
2131518-8,74233
5158213-2,74240
5028303-0,74241
5269793-9,74261
5024285-4,74272
5024283-0,74273
5007823-9,74275
5105619-7,74304
5251847-4,74312
10031940-3,74313
10005685-4,74395
2153493-7,74414
10066727-2,74420
10029846-1,74502
2034627-X,74554
2007168-1,74593
2148819-8,74594
802946-5,74625
1016358-X,74672
10071579-5,74706
2092180-9,74731
1072912368,74790
4138394-1,74790
2027960-7,74811
5178694-1,74836
10006046-8,74842
2022380-8,74849
5096787-3,74897
5030097-0,74899
2083266-7,74903
10043569-5,74927
254464-7,74931
2146469-8,74932
2146130-2,74944
2016693-X,74951
2082388-5,74952
2123615-X,74955
1007928-2,74997
1018165-9,75014
2031165-5,75071
10158005-8,75101
3032225-X,75105
279229-1,75145
5561085-7,75146
2032428-5,75203
5560486-9,75241
1091478-X,75242
3004119-3,75264
10155670-6,75267
7650-8,75278
1400398-3,75307
1400414-8,75308
3007678-X,75311
1006372-9,75327
2173205-X,75329
1213947-6,75331
5297412-1,75355
66667-1,75359
36182-3,75372
10158862-8,75373
10940-X,75387
10145442-9,75401
2067042-4,75402
110910-8,75414
2036969-4,75415
2037536-0,75453
2117040-X,75459
2100222-8,75491
2064814-5,75518
2032626-9,75554
5501999-7,75568
278-1,75574
510984-X,75575
2033374-2,75590
110709-4,75593
62890-6,75602
10174195-9,75607
10174194-7,75608
82547-5,75621
2015374-0,75633
10926-5,75660
2173862-2,75661
2012704-2,75664
10320968-2,75720
2040181-4,75758
5017153-7,75772
2012518-5,30070409
2100344-0,75787
19433-5,75796
132012-9,75854
111343-4,75858
670418-9,75859
5290245-6,75869
39532-8,75949
2014722-3,75957
2020466-8,75967
10087461-7,75982
2126728-5,75998
2171627-4,76002
1015503-X,76010
32763-3,76043
514435-8,76125
5281188-8,76126
1026334-2,76180
36184-7; 36184-7; 36184-7,76187
1079715-4,76197
2130305-8; 5513474-9; 5524309-5,76202
5039254-2,76253
1014953-3,76264
2046141-0,76274
2039322-2,76285
2160122-7,76294
3005621-4,76304
5079624-0,76310
50042-2,76319
3065169-4,76336
2040307-0,76374
137606-8,76418
112372-5,76461
2045127-1,76471
2019730-5,76528
19952-7,76574
10026467-0,76577
