"Komponist","Einordnungstitel","RISM Dokumentnummer","Signatur 852 $c"
"Weigl, Joseph","L'amor marinaro ossia Il corsaro",991006079,"Sammelband 4/I"
"Weigl, Joseph","L'amor marinaro",991006080,"Sammelband 4/I"
"Weigl, Joseph","L'amor marinaro ossia Il corsaro",991006084,"Sammelband 4/I"
"Weigl, Joseph","Die Schweizer Familie",991006221,"Weigl 3"
"Went, Johann Nepomuk","3 Quartets",990068245,"Went 1"
"Wessely, Johann","3 Quartets",990068382,"Wessely 1"
"Wessely, Johann","2 Quartets",990068387,"Wessely 1"
"Wessely, Johann","Quartets",990068388,"Wessely 1"
"Wranitzky, Anton","3 Quartets",990069351,"A. Wranitzky 1"
"Wranitzky, Paul","Symphonies",280002210,"P. Wranitzky 6"
"Wranitzky, Paul","Symphonies",990069428,"P. Wranitzky 2"
"Wranitzky, Paul","3 Symphonies",990069430,"P. Wranitzky 3, 4, 5"
"Wranitzky, Paul","Symphonies",990069434,"P. Wranitzky 7"
"Wranitzky, Paul","Symphonies",990069435,"P. Wranitzky 9"
"Wranitzky, Paul","Symphonies",990069437,"P. Wranitzky 8"
"Wranitzky, Paul","Symphonies",990069442,"P. Wranitzky 10"
"Wranitzky, Paul","Quartets",990069469,"P. Wranitzky 11"
"Wranitzky, Paul","Quartets",990069472,"P. Wranitzky 12"
