1578,990004509,B 1713
1582,990004510,B 1714
1590,990004511,B 1715
1591,990004512,B 1716
1592,990004513,B 1717
1595,990004514,B 1718
1575,990004523,B 1727
1585,990004527,B 1731
1585,990004528,B 1732
1589,990004529,B 1733; BB 1733
1594,990004530,B 1734
1583,990004532,B 1736
1584,990004533,B 1737
1587,990004534,B 1738
1586,990004535,B 1739
1593,990004537,B 1741; BB 1741
1596,990004538,B 1742
1586,990004541,B 1745
1597,990004542,B 1746
1595,990004545,B 1749
1596,990004548,B 1752
1600,990004549,B 1753
1598,990004552,B 1756
1599,990004554,B 1758
1600,990004557,B 1761; BB 1761
1584,990004569,B 1773
1586,990004570,B 1774
1595,990004571,B 1775; BB 1775
1589,990004572,B 1776
1592; (1593),990004573,B 1777; BB 1777
1593,990004574,B 1778
1577,990004594,B 1799
1585,990004701,B 1907
1588,990004702,B 1908
1592,990004703,B 1909
1594,990004704,B 1910
1553,990004708,B 1914
1599,990004746,B 1952; BB 1952
1546,990004771,B 1977
1555,990004772,B 1978; BB 1978
1556,990004773,B 1979
1560,990004774,B 1980
1561,990004775,B 1981; BB 1981
1587,990004815,B 2023
1584,990004906,B 2114
1585,990004907,B 2115
1561,990004920,B 2128
1562,990004921,B 2129
1591,990004922,B 2130; BB 2130
1591,990004923,B 2131
1592,990004924,B 2132
1593,990004925,B 2133
1596,990004926,B 2134
1544,990004954,B 2162
1593,990004956,B 2164
1593,990004957,B 2165
1580,990005192,B 2411
1580,990005193,B 2412
1582,990005194,B 2413; BB 2413
1576,990005195,B 2414; BB 2414
1578,990005196,B 2415; BB 2415
1578,990005197,B 2416; BB 2416
1587,990005198,B 2417
1578,990005199,B 2418; BB 2418
1587,990005200,B 2419; BB 2419
1574,990005293,B 2520; BB 2520
1587,990005294,B 2521
1588,990005295,B 2522
1572,990005366,B 2593
1582,990005367,B 2594
1554,990005370,B 2597; BB 2597
1563,990005371,B 2598
1596,990005372,B 2599
1597,990005378,B 2605
1547,990005402,B 2630
1548,990005403,B 2631
1596,990005404,B 2632
1598,990005405,B 2633
1600,990005406,B 2634
1598,990005466,B 2696
1599,990005981,B 3240; BB 3240
1549,990005985,B 3245
1590,990006161,B 3428
1594,990006162,B 3429
1600,990006163,B 3430
1592,990006169,B 3436
1599,990006170,B 3437
1565,990006176,B 3443
1588,990006177,B 3444
1556,990006187,B 3455
1596,990006188,B 3456
1589,990006199,B 3467
1573,990006205,B 3473; BB 3473
1576,990006206,B 3474
1579,990006207,B 3475; BB 3475
1584,990006208,B 3476
1593,990006209,B 3477
1584,990006212,B 3480
1579,990006213,B 3481; BB 3481
1584,990006214,B 3482
1579,990006216,B 3484
1582,990006217,B 3485
1582,990006218,B 3486
1583,990006219,B 3487
1600,990006222,B 3492
1591,990006223,B 3493
1595,990006231,B 3501
1574,990006232,B 3502
1569,990006233,B 3503; BB 3503
1586,990006258,B 3529; BB 3529
1588,990006259,B 3530
1600,990006260,B 3531; BB 3531
1501,990006263,B 3534; BB 3534
1599,990006366,B 3685
1580,990006425,B 3747
1584,990006429,B 3751
1591,990006430,B 3752
1548,990006449,B 3772
1563,990006450,B 3773
1587,990006451,B 3774
1597,990006452,B 3775
1598,990006454,B 3777
1594,990006466,B 3789; BB 3789
1593,990006467,B 3790
1568,990006468,B 3791
1547,990006491,B 3814; BB 3814
1547,990006492,B 3815
1554,990006493,B 3816
1594,990006706,B 4029
1544,990006812,B 4185
1566,990006813,B 4186; BB 4186
1558,990006814,B 4188
1564,990006815,B 4189
1587,990006828,B 4202
1591,990006829,B 4203
1599,990006830,B 4204
1548,990006836,B 4210
1572; (1573),990006881,B 4257
1564,990006887,B 4263
1574,990006888,B 4264
1553,990006917,B 4295
1589,990006920,B 4298
1590,990006921,B 4299
1594,990006922,B 4300; BB 4300
1579,990007132,B 4522
1579,990007223,B 4613
1503,990007252,B 4643; BB 4643
1578,990007460,B 4860; BB 4860
1553,990007526,B 4929
1587,990007542,B 4945
1591,990007543,B 4946
1600,990007544,B 4947
1566,990007551,B 4954; BB 4954
1566,990007552,B 4955
1567,990007553,B 4956
1568,990007554,B 4957; BB 4957
1573,990007555,B 4958; BB 4958
1569,990007557,B 4960
1572,990007558,B 4961
1578,990007559,B 4962
1587,990007560,B 4963
1597,990007561,B 4964; BB 4964
1572,990007562,B 4965
1573,990007563,B 4966; BB 4966
(1574),990007564,B 4967
1574,990007565,B 4968; BB 4968
1575,990007566,B 4969
1599,990007567,B 4970; BB 4970
1577,990007568,B 4971; BB 4971
1578,990007569,B 4972
1589,990007570,B 4973
1596,990007571,B 4974
1596,990007572,B 4975
1578,990007574,B 4977
1579,990007575,B 4978
1580,990007576,B 4979; BB 4979
1580,990007577,B 4980
1590,990007578,B 4981
1581,990007579,B 4982
1583,990007580,B 4983; BB 4983
1595,990007581,B 4984; BB 4984
1596,990007582,B 4985; BB 4985
1585,990007583,B 4986
1594,990007584,B 4987
1595,990007586,B 4989
1597,990007587,B 4990
1599,990007588,B 4991
1581,990007600,B 5004
1543,990007770,B 5194; BB 5194
1547,990007771,B 5195; BB 5195
1549,990007772,B 5196
1549,990007773,B 5197
1549,990007774,B 5198
1550,990007775,B 5199; BB 5199
1588,990007782,B 5209; BB 5209
1589,990007784,B 5211; BB 5211
1589,990007785,B 5212; BB 5212
1589,990007786,B 5213
1591,990007789,B 5216; BB 5216
1578,990007799,C 1; CC 1
1600,990007802,C 4
1585,990007810,C 12
1555,990007811,C 13
1556,990007812,C 14
1558,990007813,C 15; CC 15
1571,990007823,C 25
1571,990007824,C 26; CC 26
1576,990007825,C 27
1578,990007826,C 28; CC 28
1578,990007827,C 29; CC 29
1597,990007831,C 33; CC 33
1564,990007832,C 34
1584,990007833,C 35
1585; (1584),990007834,C 36
1584,990007870,C 72
1594,990008023,C 257
1597,990008024,C 258; CC 258
1598,990008025,C 259; CC 259
1560,990008038,C 272
1561,990008039,C 273
1569,990008040,C 274
1569,990008041,C 275
1569,990008042,C 276
1569,990008043,C 277
1569,990008044,C 278
1573,990008045,C 279
1574,990008046,C 280
1575,990008047,C 281
1545,990008312,C 550
1545,990008313,C 551; CC 551
1551,990008314,C 552
1550,990008316,C 554; CC 554
1564,990008523,C 763
1579,990008528,C 768
1581,990008529,C 769
1588,990008530,C 770
1600,990008531,C 771; CC 771
1590,990008546,C 786
1571,990008565,C 805
1546,990008566,C 806
1585,990008641,C 882
1596,990008642,C 883
1599,990008643,C 884
1591,990008647,C 888
1599,990008670,C 911
1592,990008713,C 956
1593,990008714,C 957
1582,990008724,C 967
1594,990008741,C 985
1586,990008742,C 986
1554,990008887,C 1224
1567,990008888,C 1225
1581,990008896,C 1233; CC 1233
1600,990008897,C 1234; CC 1234
1598,990008921,C 1263
1586,990008922,C 1264
1587,990008923,C 1265
1588,990008924,C 1266
1590,990008925,C 1267
1597,990008926,C 1268
1600,990008927,C 1269
1557,990009026,C 1372
1572,990009087,C 1436
1599,990009094,C 1443
1574,990009107,C 1456
1541,990009109,C 1458
1569,990009119,C 1468
1570,990009120,C 1469
1571,990009121,C 1470
1574,990009122,C 1471
1575,990009123,C 1472
1576,990009124,C 1473
1580,990009125,C 1474
1582,990009126,C 1475
1582,990009127,C 1476
1586,990009128,C 1477
1588,990009129,C 1478
1588,990009130,C 1479
1591,990009131,C 1480; CC 1480
1591,990009132,C 1481
1591,990009133,C 1482
1592,990009135,C 1484
1592,990009136,C 1485
1592,990009137,C 1486
1592,990009138,C 1487
1593,990009139,C 1488
1593,990009140,C 1489
1594,990009141,C 1490
1595,990009143,C 1492
1596,990009144,C 1493; CC 1493
1598,990009145,C 1494
1597,990009146,C 1495
1599,990009147,C 1496
1568,990009166,C 1516
1583,990009167,C 1517
1570,990009168,C 1518
1583,990009169,C 1519
1548,990009191,C 1541
1580,990009196,C 1546
1581,990009197,C 1547
1582,990009198,C 1548; CC 1548
1585,990009199,C 1549
1587,990009200,C 1550
1593,990009201,C 1551
1596,990009202,C 1552
1583,990009206,C 1556
1585,990009207,C 1557
1592,990009208,C 1558
