ID,Incipitnr,PIKaDo 823,PIKaDo 824
190013087, 1.1.1, c/;3, 
190013161, 1.1.1, c/;3/1, 
190013213, 1.1.1, c/;3/2, 0
190013286, 1.1.1, o/;3/2, 0
190016111, 1.1.1, c;c, 
190019900, 1.1.1, c/;12/8, 
190019900, 1.2.1, c/;12/8, 
190019931, 1.1.1, c;3/2, 0
190019933, 1.1.1, c;3/2, 0
190020898, 1.2.1, 4/4;4/4, 
190020943, 1.1.1, c;c, 
190021017, 1.1.1, c;3/2, 0
190021800, 1.1.1, c;3, 3/4
190024424, 1.1.1, 3/4;2/4, 
190024428, 1.1.1, c/;c, 
190026327, 1.1.1, c/;3/2, 0
190026337, 1.1.1, c/;3/2, 0
190026452, 1.1.1, c/;3/2, 0
190026472, 1.1.1, c;3, 0
190026476, 1.1.1, c/;3/2, 0
190026501, 1.1.1, c/;3, 0
190026886, 1.1.1, c;c/, 
190101802, 1.1.2, c;c, 
200017539, 1.2.1, c;2/4, 
200017559, 1.3.1, c/;6/8, 
200017559, 2.1.1, c;6/8, 
200017984, 1.1.1, c;4/4, 
200017994, 1.2.1, 6/8;2/4, 
200021084, 4.1.1, c/;9/8, 
200021085, 3.1.1, c/;9/8, 
200021118, 1.3.1, 3/4;c, 
200021194, 1.2.1, c;2/4, 
200021294, 1.6.1, c;6/8, 
200021294, 1.7.1, 3/8;c;3/8, 
200021294, 1.19.1, 3/4;3/8;3/4, 
200021496, 5.3.1, c;2/4, 
200021700, 1.15.1, c;2/4, 
200022629, 1.3.1, c;6/8, 
200032729, 1.1.1, c;3/4, 
200039455, 4.1.1, c;3/2, 
200042559, 1.2.1, c;2/4;c, 
200042726, 1.4.1, c;3/4;c, 
200042726, 1.6.1, 3/4;2/4;3/4, 
200042726, 1.6.2, 3/4;2/4;3/4, 
200042726, 1.8.1, c;3/8;c, 
200042823, 1.1.1, 3/4;c/;6/8, 
200043484, 1.2.1, 2/4;3/4;c, 
200043548, 1.1.1, c;c;6/8, 
200043548, 1.12.1, 6/8;c, 
200043548, 1.16.1, 2/4;3/8;c;3/8;2/4, 
200043548, 1.17.1, 3/4;c, 
200043548, 1.25.1, 3/4;c, 
200043696, 1.3.1, c;3/8;c, 
200043696, 1.7.1, 3/4;c;3/4, 
200043696, 1.15.1, 2/4;3/8, 
200043696, 1.19.1, c/;3/8;c/, 
200043696, 1.22.1, c;3/4;c;c;3/4, 
200043719, 1.13.1, c;3/4, 
200043719, 1.18.1, c;3/8, 
200043719, 1.21.1, c;3/4;c, 
200043752, 1.8.1, c;3/8, 
200043752, 1.17.1, c;3/4;c, 
200043752, 1.22.1, c;3/4;c, 
200043752, 1.25.1, c/;3/8;c/, 
200043752, 1.27.1, c/;c;c/, 
200043752, 1.33.1, 3/8;c;3/8, 2/4
200043752, 1.41.1, c/;3/8;c/, 
200043752, 1.47.1, 6/8;c;6/8, 
200043752, 1.51.1, c;3/4;c;3/4;c;3/4;c, 
