ID,Term,Alternativ
3023770,Cadenzas (inst.),"Cadences (inst.)
Kadenzen (instr.)"
3024348,Studies,Studien
3025143,Rants,""
3025686,Inventories,"Repertorien
Findbücher
Inventare
Finding aids"
3025691,Catalogues,Kataloge
3025733,Letters,Briefe
3025818,Radio plays,Hörspiele
3026899,Monferrinas,Manfrine
3027781,Cabalettas,""
3028069,Trepak,""
3028900,Cachuchas,""
3030257,Hauer,""
3030269,Körtánc,""
3030305,Kolos,""
3030365,Shimmies,""
3030486,Lezginkas,Lesginkas
3030709,Bostons,"Boston waltz
Valse Boston
English waltz"
3031396,Kozaki,""
3900001,Oper,""
3900010,Tirol,""
3900027,Cembalo-Sonate; Sonate,""
3900043,Tabulatur,""
3900056,Vocal music,Vokalmusik
3900079,Keyboard music,
3900080,Kantate,""
3900083,Sinfonie,""
3900107,Passion,""
3900116,Roma,""
3900119,Falsi bordoni,
3900125,Kirchenmusik,""
3900137,Männerchor,""
3900147,Schlesische Lieder; Volkstümliche Lieder,""
3900150,Textsammlung,
3900151,Messe,""
3900153,Klaviermusik Piano,""
3900154,Sonate,""
3900185,Chorlied,""
3900192,Lied,""
3900204,Blasmusik,
3900236,Flötenkompositionen,""
3900238,Instrumentalmusik,""
3900254,Volkslied,""
3900312,Oratorium,""
3900320,Melodram,""
3900350,Laude,""
3900380,Schauspiele,""
3900472,Gambenmusik,
3900581,Moravian music,
3900596,Planctus,
3900612,Ouvertüre; Sinfonie,""
3900638,Orgelchoral,
3900644,Women Composers,Komponistinnen
3900710,Complete works,"Gesamtausgaben
Œuvres complètes"
3900750,Serenades,""
3900792,Autographe,""
3900847,Harpsichord Music,
3900957,Orgelmusik,""
3901022,Trio sonatas,"Triosonaten
Sinfonie a tre"
3901023,Cadences (inst.),""
3901027,Completoria,"Complines
Komplete
Completas
Compiete
Officium divinum"
3901031,Documents,
3901033,Quintets (voc.),Quintette (vok.)
3901045,Actes de ballet,""
3901050,Chamber music,"Kammermusik
Musique de chambre"
3901386,Blues,""
3901553,Improvisations,"Improvisationen
Improvvisazioni"
3901572,Intermèdes (stage),""
3901573,Intermedi,Intermedien
3901602,Chorale partitas,Choralpartiten
3901612,Chants,"Gregorianischer Choral
Cantus Gregorianus"
3901615,Dumps,""
3901617,Encyclopedias,""
3901623,Byzantine music,"Βυζαντινή εκκλησιαστική μουσική
Εκκλησιαστική μουσική, Βυζαντινή
Μουσική, Βυζαντινή
Byzantine ecclesiastical music
Ecclesiastical music, Byzantine
Music, Byzantine"
3901625,Occasional print,Gelegenheitsdruck
3901629,Lauds,Lauds (Music)
3901630,Byzantine chants,"Βυζαντινά μέλη
Βυζαντινοί ύμνοι
Μέλη (Βυζαντινά)
Chants (Byzantine)"
3901631,Sacred vocal music,"Liturgical music
Pastoral music (Sacred)
Vocal music, Sacred
Θρησκευτική φωνητική μουσική
Λειτουργική μουσική
Φωνητική μουσική, Θρησκευτική

"
3901632,Orthros (Music),"Όρθρος (Μουσική)
"
3901633,Doxastika tōn Ainōn,"Δοξαστικά των Αίνων
Doxastichon
Doxasticon
Doxastikon
Glory sticheron"
3901634,Church music,
3901635,Pastorales héroïques,""
3901646,Instrumental music,""
3901647,Patriotic music,""
3901649,Moravian Church liturgy,
3901665,Sextets (voc.),Sextette (vok.)
3901676,Rock and roll,"Rock 'n' roll
Rock & roll"
3901678,Megalynaria,"Μεγαλυνάρια
Μεγαλυνάριο
Μεγαλυνάριον"
3901679,Marian antiphons,Marianische Antiphonen
3901683,Historical chants,Śpiewy Historyczne
3901688,Facsimiles,""
3901693,Christmas music,"Μουσική των Χριστουγέννων
Χριστούγεννα--Τραγούδια και μουσική
Χριστουγεννιάτικα τραγούδια
Χριστουγεννιάτικη μουσική
Christmas--Songs and music
Christmas songs"
3901704,Modulations,"Modulationen
Modulazioni"
3901705,Chansonniers,""
3901706,Epiphany hymns,"Θεοφάνεια, Ύμνοι των
Θεοφάνια, Ύμνοι των
Φώτα, Ύμνοι των 
Ύμνοι των Θεοφανείων
Ύμνοι των Θεοφανίων
Hymnoi tōn Theophaneiōn
Hymnoi tōn Theophaniōn

"
3901749,Furiants,""
3901765,Plays (theatre),"Theaterstücke
Opere teatrali"
3901803,Orchestral pieces,"Orchesterstücke
Pezzi per orchestra"
3901880,Zortzikos,"Zortzikoak
Zorcicos"
3901884,Entrées,""
3901894,Marian songs,"Marienlieder
Canciones marianas"
3901901,Alabanzas,"Lobpreisungen des Herrn
Praises of the Lord
"
3901920,Contradanzas,"Kontratänze
Country dances"
3901927,Dumkas,""
3901938,min'yo (民謠),"민요, 民謠"
3901939,Drabants,""
3901943,Kozachoks,Kasatschoks
3901974,Guitar music,
3901996,Ga'gok (歌曲),"가곡, 歌曲"
3901997,Zamacuecas,""
3902007,Zambas,""
3902024,Piano music,
3902038,Septets (voc.),Septette (vok.)
3902047,Composition exercises,Kompositionsübungen
3902051,Piano method books,""
3902056,chang'ga (唱歌),창가， 唱歌
3902057,Kimigayo  君か代,
3902060,Sih-jo (時調),"시조, 時調"
3902064,Sacred music,
3902066,Declamations with music,"Melodeklamationen
Melodeklamacje
Мелодекламации"
3902070,First editions,"Erstausgaben
Premières éditions
Pierwsze wydanie
Prime edizioni
Primeras ediciones"
3902071,Second editions,"Zweiten Ausgaben
Deuxièmes éditions
Drugie wydanie
Seconde edizioni
Segundas ediciones"
3902072,Reprints,"Nachdrucke
Réimpressions
Przedruki
Reissues
Ristampe
Reimpresiones"
3902073,Titelauflagen,"Titelausgaben
Wydanie tytułowe"
3902074,Third editions,"Dritten Ausgaben
Troisièmes éditions
Trzecie wydanie
Terze edizioni
Terceras ediciones"
3902075,First issues,"Pierwszy nakład
Erste Abzug"
3902077,Corrected issues,Nakład poprawiony
3902078,Second issues,Drugi nakład
3902079,Third issues,Trzeci nakład
3902082,Fourth editions,"Vierten Ausgaben 
Quatrièmes éditions 
Czwarte wydanie 
Quatre edizioni 
Cuartas ediciones"
3902083,Fifth editions,"Fünften Ausgaben 
Cinquièmes éditions 
Piąte wydanie 
Quinte edizioni 
Quintas ediciones"
50000334,Kuhreihen,"Kuhreigen
Chüeräie
Chüeräige
Lyoba
Ranz des vaches"
50000361,Chants révolutionnaires,"Revolutionary songs
Revolutionary hymns
Revolutionsgesänge
Revolutionshymnen"
50000545,Drinking songs,"Trinklieder
Chansons à boire"
50000553,Exercises in harmony,"Harmonieübungen
Exercices d'harmonie"
50000727,Lute music,"Lautenmusik
Musique de luth"
50000763,Musique révolutionnaire,Revolutionsmusik
50000788,Brunettes (voc.),Brunetten (vok.)
50000831,Theorbo music,"Musik für Theorbe
Musique de théorbe"
50000880,Threnodies,
50000883,Performances,
50000884,Soundscapes,
50000885,Soundart,
50000886,Corrected reprints,Reprint poprawiony
50000890,Radiophonic Art,
50000891,Video installations,Videoinstallationen
50000904,Neumatic notation,"Neumennotation
Казанское знамя
Казанская нотация
Ключевое знамя
Крюки"
50000905,Demestvenny polyphony,"Демество
Демественное многоголосие
Демественное четырехголосие
Demestvenny polyphonic chant
Four-part demestvo
Demestischer Gesang"
50000906,Prokeimenon,"Prokimenon
Прокимен
προκείμενον"
50000907,Square staff notation,"Quadratische Liniennotation
Kiever Liniennotation
Киевская нотация
Топорики"
50000908,Troestrochie,"Strochnoy polyphony
Troestročie
Троестрочие
Строчное многоголосие
Строшное"
50000915,Shanties,"Chanties
Chanteys
Sea shanties
"
50000928,Organ pieces,
50000934,Music magazine,
50000935,Tropes,""
50000936,Misterios ,
50000938,Mascarades,""
50001185,Double quartets,Doppelquartette
50001187,Sauteuses,Sauteusen
50001193,Histoires sacrées,
50001197,Nocturnes (voc.),
50001208,Trisagium ,
50001236,Cakewalks,
50001246,Early editions,"Frühe Druckausgaben
Premières éditions
Wczesna edycja
Prime edizioni
Primeras ediciones"
50001248,Later editions,"Spätere Druckausgaben 
Późniejsze wydanie
Éditions ultérieures"
50001254,Pasillos,
50001256,First critically reviewed complete editions,Erste kritische durchgesehene Gesamtausgaben
50001268,Finales,Finale
50001273,Bibliography,
50001292,Dedications,Widmungstexte
50001293,Berceuses,""
50001300,Doxologies,Doxologien
50001302,Sanjuanitos,
50001303,Pasacalles,
50001305,Polish folk dances,""
50001307,Jazz,""
50001308,Polish dances,""
50001313,Collects (sacred),"Kollektengebete
Orationen
Collectae"
50001316,Prayers,
50001320,Contraddanze,""
50001322,Pivas,""
50001323,Calatas,""
50001325,Early Russian polyphony,
50001328,Kyriale,
50001330,Tasche,""
50001332,Responsory verses,""
50001335,Alliluia,
50001336,Great Compline,
