ID, Model, Unicode-Character, Sample
Source,450062499,TABULATOR,", 9r , 13r[TABULATOR], 13v-14r$"
Source,450062501,TABULATOR," 18v, 18r,[TABULATOR]9v , 13v, "
Source,450062511,TABULATOR,", 22v, 20v[TABULATOR], 20v, 11v"
Source,450062515,TABULATOR,"E|b 2$b19r[TABULATOR], 16v, 23v"
Source,450062517,TABULATOR," 13v , 17r[TABULATOR], 17v$801"
Source,450062535,TABULATOR,".24v, 28v,[TABULATOR]33v, 31v-3"
Source,450062542,TABULATOR,"[30v], 34r[TABULATOR], 39r, 36v"
Source,450062548,TABULATOR," 28r , 31r[TABULATOR], 30r$801"
Source,450062550,TABULATOR,", 15v, 43r[TABULATOR], 40r, 41r"
Source,450062602,TABULATOR,"r, 58v-59r[TABULATOR], 67v, 64r"
Source,450062613,TABULATOR,", 64r, 31v[TABULATOR], 74v, 70v"
Source,450062663,TABULATOR,"r, 80v-81r[TABULATOR], 95v-96r,"
Source,450062680,TABULATOR,"r, 88v-89r[TABULATOR], 106v, 10"
Source,450062720,TABULATOR,"06v, 47r, [TABULATOR]127r, 122r"
Source,450062735,TABULATOR," 101v-102v[TABULATOR], 99r-99v$"
Source,450062738,TABULATOR,"117r, 116v[TABULATOR], 139v, 13"
Source,450062797,TABULATOR,"146r, 142v[TABULATOR], 170v-171"
Source,450062802,TABULATOR,"145r, 173r[TABULATOR], 164v-165"
Source,450062834,TABULATOR, 181v-182r[TABULATOR]174r[TABULATOR]156r 
Source,450062841,TABULATOR,"177r-178r,[TABULATOR]159v-160r "
Source,450062852,TABULATOR,"171r, 201r[TABULATOR], 192v, 18"
Source,450062874,TABULATOR,", 13r, 14v[TABULATOR], 14r, 12v"
Source,450062875,TABULATOR,", 13r, 14v[TABULATOR], 14r, 12v"
Source,450062916,TABULATOR,"v, 45r-45v[TABULATOR], 49v-50r,"
Source,450062932,TABULATOR,"v, 56v-57r[TABULATOR], 64r-64v,"
Source,450064565,TABULATOR,"958, p.20.[TABULATOR]001[TABULATOR]DE=5"
Source,450112001,TABULATOR,title:] ri[TABULATOR]Welch Lob 
Source,450303800,TABULATOR," ""Schlecht[TABULATOR]""=590  #"
Source,452004475,TABULATOR,875; vgl. [TABULATOR] http://re
Source,452015702,TABULATOR,260  ##$c [TABULATOR]1760 (1760
Source,452015703,TABULATOR,260  ##$c [TABULATOR]1760 (1760
Source,452015704,TABULATOR,260  ##$c [TABULATOR]1760 (1760
Source,452015705,TABULATOR,260  ##$c [TABULATOR]1760 (1760
Source,452015706,TABULATOR,260  ##$c [TABULATOR]1760 (1760
Source,452017209,TABULATOR,F00000000 [TABULATOR]$xDigitize
Source,452018206,TABULATOR,Andrijovyč[TABULATOR]$d1804-186
Source,452019631,TABULATOR,Andrijovyč[TABULATOR]$d1804-186
Source,453501382,TABULATOR, Bleistift[TABULATOR]sowie Skiz
Source,453501383,TABULATOR, Bleistift[TABULATOR]sowie Skiz
Source,454015508,TABULATOR,00108954-0[TABULATOR]$xDigitize
Source,455027177,TABULATOR,piermühle [TABULATOR]Antonio Zu
Source,455027790,TABULATOR,G1''C+/C-/[TABULATOR]$rF$tQuae 
Source,455037441,TABULATOR,eint sein.[TABULATOR]001[TABULATOR]DE=5
Source,456016887,TABULATOR,on Ephesus[TABULATOR]$gRAK$0502
Source,456016980,TABULATOR,ndbergers.[TABULATOR]006[TABULATOR]DE=5
Source,456051677,TABULATOR,",G+,D+,,0A[TABULATOR]=041  ##"
Source,460016000,TABULATOR,Recitativo[TABULATOR](19r von W
