SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.991,"Beck, Franz Ignaz","Symphonies - vl (2), vla, b; CalB 5",2 parts,"2, 2f.",240001029,01
Mus.992,"Beck, Franz Ignaz","Symphonies - vl (2), vla, b; CalB 1",4 parts,"2, 2, 2, 2f.",240001030,01
Mus.996/2,"Bečvařovský, Anton Franz",Polonaises - pf,1 part,2f.,240001031,01
Mus.996/1,"Bečvařovský, Anton Franz",Variations - pf,1 part,2f.,240001032,01
Mus.1026,"Beethoven, Ludwig van",Fidelio - Excerpts; orch; LvBWV op.72,28 parts,"5, 5, 4, 5, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 2, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4f.",240001033,01
Mus.1028,"Beethoven, Ludwig van","Die Ruinen von Athen - Excerpts; vl (2), vla, vlc; LvBWV op.113",6 parts,"2, 2, 2, 2, 2, 2f.",240001034,01
Mus.1151,"Behm, Wenzeslaus",Symphonies - orch,8 parts,"3, 3, 2, 2, 2, 2, 2, 2f.",240001035,01
Mus.1175,"Benda, Franz",34 Capriccios - vl,1 part,14f.,240001036,01
Mus.1169,"Benda, Franz","Concertos - vl, strings, cemb; LeeB 2.13",5 parts,"3, 2, 2, 2, 2f.",240001037,01
Mus.1170,"Benda, Franz","Concertos - vl, strings, cemb; LeeB 2.18",5 parts,"4, 2, 2, 2, 2f.",240001038,01
Mus.1185,"Benda, Franz","Sonatas - fl, bc; LeeB 3.24",score: 2f.,"",240001039,01
Mus.1168/7,"Benda, Franz","Sonatas - vl, b; LeeB 3.23",2 parts,"2, 2f.",240001040,01
Mus.1168/6,"Benda, Franz","Sonatas - vl, b; LeeB 3.139",2 parts,"2, 2f.",240001041,01
Mus.1168/12,"Benda, Franz","Sonatas - vl, b; LeeB 3.36",score: 4f.,"",240001042,01
