ID,031_q,031_m
100500900,t,vl 1 coro 3
100500900,t,bc
100500901,t,S
100500901,t,vl 1
100500901,t,bc
100500901,t,S
100500901,t,vl
100500901,t,bc
100500905,t,S 1 coro 1
100500906,t,S 1 coro 1
100500906,t,bc 2
100500906,t,S 1 coro 1
100500906,t,bc 2
100500907,t,S coro 1
100500907,t,bc
100500907,t,S coro 1
100500907,t,bc
100500908,t,S coro 1
100500908,t,bc
100500908,t,S coro 1
100500908,t,bc
100500909,t,S 1 coro 1
100500909,t,vl 1
100500909,t,bc 2
100500910,t,S 1 coro 1
100500910,t,vl 1
100500910,t,bc 2
100500912,t,T coro 1
100500912,t,bc
100500912,t,S coro 1
100500912,t,bc
100500913,t,A coro 1
100500913,t,bc
100500913,t,A coro 1
100500913,t,bc
100500914,t,S 1 coro 1
100500915,t,S 1 coro 1
100500915,t,bc
100500916,t,S 1 coro 1
100500916,t,vl 1
100500916,t,S 1 coro 1
100500916,t,vl 1
100500916,t,bc
100500917,t,S 1 coro 1
100500917,t,bc 2
100500917,t,S 1 coro 1
100500917,t,vl 1
100500917,t,bc 2
100500917,t,bc 2
100500917,t,A coro 1
100500917,t,S 1 coro 1
100500917,t,vl 1
100500917,t,bc 2
100500917,t,bc 2
100500918,t,bc
100500919,t,S 1 coro 1
100500919,t,bc 2
100500919,t,S 1 coro 1
100500920,t,S coro 1
100500920,t,vl 1
100500920,t,arp
100500920,t,S coro 1
100500920,t,vl 1
100500940,t,T solo
100500940,t,vl 1
100500940,t,bc
100500948,t,S 1 coro 1
100500948,t,vl 1
100500948,t,bc
100500953,t,S 1 coro 1
100500953,t,vl 1
100500953,t,bc
100500955,t,S
100500955,t,vl 1
100500955,t,bc
100500956,t,S 1
100500956,t,vl 1
100500956,t,bc 2
100500957,t,S 1
100500957,t,vl 1
100500957,t,bc 2
100500957,t,S 1
100500957,t,vl 1
100500957,t,bc 2
100500958,t,S 1
100500958,t,vl 1
100500958,t,bc 2
100500958,t,S 1
100500958,t,vl 1
100500958,t,bc 2
100500959,t,T
100500959,t,bc
100500959,t,T
100500959,t,bc
100500961,t,S 1
100500961,t,vl 1
100500961,t,bc
100500961,t,S 1
100500961,t,vl 1
100500961,t,bc
100500997,t,S
100500997,t,A
100501014,t,T
100501020,t,A
100501023,t,S
100501061,t,S coro 1
100501061,t,s-chirimía 1
100501061,t,bc
100501061,t,s-chirimía 1
100501062,t,S 1 coro 1
100501062,t,org
100501062,t,S 1 coro 1
100501062,t,s-chirimía 1
100501062,t,org
100501062,t,s-chirimía 1
100501063,t,S coro 2
100501063,t,bc
100501063,t,bc
100501064,t,S coro 1
100501065,t,A coro 1
100501065,t,bc
100501067,t,S 1
100501067,t,S 2
100501071,t,bc
100501071,t,bc
100501072,t,T coro 1
100501072,t,S coro 2
100501072,t,bc
100501073,t,T
100501073,t,T
100501073,t,T
100501074,t,S
100501074,t,T
100501074,t,bc
100501074,t,A
100501074,t,T
100501074,t,bc
100501074,t,S
100501074,t,T
100501075,t,T coro 2
100501075,t,A coro 2
100501075,t,T coro 2
100501075,t,T coro 2
100501076,t,S 1
100501076,t,S 2
100501076,t,bc: arp
100501077,t,S
100501077,t,bc
100501077,t,S
100501077,t,bc
100501081,t,bc
100501083,t,S
100501083,t,T
100501083,t,bc
100501083,t,S
100501083,t,T
100501083,t,bc
100501085,t,T
100501085,t,bc
100501085,t,T
100501085,t,bc
100501085,t,T
100501085,t,bc
100501089,t,S coro 1
100501089,t,T coro 1
100501089,t,S coro 1
100501089,t,S 1 coro 2
100501089,t,a-chirimía
100501090,t,A
100501090,t,bc
100501090,t,A
100501090,t,bc
100501090,t,A
100501090,t,bc
100501092,t,S 1
100501092,t,bc
100501092,t,S
100501092,t,bc
100501093,t,S coro 1
100501093,t,bc
100501094,t,S
100501094,t,bc
100501095,t,S
100501095,t,bc
100501096,t,bc
100501096,t,bc
100501112,t,A
100501112,t,T
100501112,t,T
100501112,t,T
100501112,t,T
100501156,t,S 1 coro 1
100501157,t,S 1 coro 2
100501157,t,vl 1
100501157,t,S coro 1
100501158,t,S coro 1
100501164,t,S 1 coro 1
100501164,t,bc
100501164,t,S 1 coro 1
100501164,t,bc
100501187,t,T
100501187,t,vl 1
100501187,t,bc 2
100501190,t,S coro 3
110003283,t,A
110003292,t,S
110003299,t,B
110003303,t,S
110003304,t,S
190014238,t,S
190014239,t,S
