00000990027254	[1784]	Year of publication from British Library catalogue.
00000990027290	[1784]	Year of publication from British Library catalogue.
00000990027402	[1802]	Year of publication from British Library catalogue.
00000990027453	[1807?]	Year of publication from British Library catalogue.
00000990024670	[1728]	Year of publication from British Library catalogue.
00000990027521	[1803?]	Year of publication from British Library catalogue.
00000990027522	[ca. 1800]	Year of publication from British Library catalogue.
00000990027528	[ca. 1800]	Year of publication from British Library catalogue.
00000990027648	[1810]	Year of publication from British Library catalogue.
00000990027670	[1789]	Year of publication from British Library catalogue.
00000990027679	[1789?]	Year of publication from British Library catalogue.
00000990027702	[1796]	Year of publication from British Library catalogue.
00000990027725	[ca. 1800]	Year of publication from British Library catalogue.
00000990027736	[1800?]	Year of publication from British Library catalogue.
00000990027775	[1802]	Year of publication from British Library catalogue.
00000990027795	[1806]	Year of publication from British Library catalogue.
00000990028051	[c. 1785]	Year of publication from British Library catalogue.
00000990028055	[1782?]	Year of publication from British Library catalogue.
00000990028060	[ca.1790]	Year of publication from British Library catalogue.
00000990028123	[1788]	Year of publication from British Library catalogue.
00000990028134	[1800]	Year of publication from British Library catalogue.
00000990028206	[1795?]	Year of publication from British Library catalogue.
00000990028285	[1799]	Year of publication from British Library catalogue.
00000990028313	[1799]	Year of publication from British Library catalogue.
00000990028401	[ca. 1785]	Year of publication from British Library catalogue.
00000990028409	[between 1776 and 1788]	Year of publication from British Library catalogue.
00000990028441	[1794]	Year of publication from British Library catalogue.
00000990028736	[ca. 1785]	Year of publication from British Library catalogue.
00000990028747	[between 1785 and 1794?]	Year of publication from British Library catalogue.
00000990028973	[1774?]	Year of publication from British Library catalogue.
00000990029039	[approximately 1790]	Year of publication from British Library catalogue.
00000990029250	[1788]	Year of publication from British Library catalogue.
00000990029254	[between 1788 and 1790?]	Year of publication from British Library catalogue.
00000990029439	[between 1805 and 1825?]	Year of publication from British Library catalogue.
00000990029641	[1812]	Year of publication from British Library catalogue.
00000990029647	[1803]	Year of publication from British Library catalogue.
00000990029794	[ca. 1800]	Year of publication from British Library catalogue.
00000990029976	[1787]	Year of publication from British Library catalogue.
00000990024896	[between 1789 and 1819]	Year of publication from British Library catalogue.
00000990029997	[1798]	Year of publication from British Library catalogue.
00000990030246	[1785]	Year of publication from British Library catalogue.
00000990030318	[ca. 1790]	Year of publication from British Library catalogue.
00000990030771	[1791?]	Year of publication from British Library catalogue.
00000990030849	[between 1779 and 1788?]	Year of publication from British Library catalogue.
00000990030887	[1788]	Year of publication from British Library catalogue.
00000990031127	[between 1782 and 1798]	Year of publication from British Library catalogue.
00000990025022	[1763?]	Year of publication from British Library catalogue.
00000990031375	[1783?]	Year of publication from British Library catalogue.
00000990031403	[ca. 1785]	Year of publication from British Library catalogue.
00000990031813	[1772?]	Year of publication from British Library catalogue.
00000990031968	[between 1806 and 1808?]	Year of publication from British Library catalogue.
00000990025147	[ca. 1780]	Year of publication from British Library catalogue.
00000992001031	[between 1750 and 1800?]	Year of publication from British Library catalogue.
00000991019790	[1801?]	Year of publication from British Library catalogue.
00000991020100	[between 1798 and 1803]	Year of publication from British Library catalogue.
00000991020152	[approximately 1765?]	Year of publication from British Library catalogue.
00000991020252	[ca. 1790]	Year of publication from British Library catalogue.
00000991020387	[ca. 1790]	Year of publication from British Library catalogue.
00000991020746	[1800?]	Year of publication from British Library catalogue.
00000990032186	[1770?]	Year of publication from British Library catalogue.
00000990032244	[wm 1797]	Year of publication from British Library catalogue.
00000990032652	[between 1789 and 1798]	Year of publication from British Library catalogue.
00000992000239	[1750?]	Year of publication from British Library catalogue.
00000990032813	[1779?]	Year of publication from British Library catalogue.
00000990034094	[1768?]	Year of publication from British Library catalogue.
00000990034320	[1789?]	Year of publication from British Library catalogue.
00000990034912	[ca. 1795?]	Year of publication from British Library catalogue.
00000990035099	[not before 1812]	Year of publication from British Library catalogue.
00000990035107	[not before 1812]	Year of publication from British Library catalogue.
00000990035298	[ca. 1812]	Year of publication from British Library catalogue.
00000990035324	[1810]	Year of publication from British Library catalogue.
00000990033093	[1699]	Year of publication from British Library catalogue.
00000990035364	[1803]	Year of publication from British Library catalogue.
00000990033133	[between 1798 and 1801?]	Year of publication from British Library catalogue.
00000990033146	[1805 or 1806?]	Year of publication from British Library catalogue.
00000990033161	[between 1802 and 1811?]	Year of publication from British Library catalogue.
00000990033528	[1794?]	Year of publication from British Library catalogue.
00000991021775	[ca. 1790]	Year of publication from British Library catalogue.
00000991022012	[1800]	Year of publication from British Library catalogue.
00000990037142	[1782?]	Year of publication from British Library catalogue.
00000990037498	[1749]	Year of publication from British Library catalogue.
00000990037625	[1743]	Year of publication from British Library catalogue.
00000990037627	[1744]	Year of publication from British Library catalogue.
00000990038035	[1783?]	Year of publication from British Library catalogue.
00000990038267	[approximately 1760]	Year of publication from British Library catalogue.
00000990038297	[approximately 1805]	Year of publication from British Library catalogue.
00000990038421	[1764?]	Year of publication from British Library catalogue.
00000990038508	[ca. 1780]	Year of publication from British Library catalogue.
00000990038509	[1806?]	Year of publication from British Library catalogue.
00000990038620	[1710]	Year of publication from British Library catalogue.
00000990036311	[ca. 1745]	Year of publication from British Library catalogue.
00000990036312	[1765?]	Year of publication from British Library catalogue.
00000990036426	[1794?]	Year of publication from British Library catalogue.
00000990036444	[1748]	Year of publication from British Library catalogue.
00000991029662	[1808?]	Year of publication from British Library catalogue.
00000991030133	[1708?]	Year of publication from British Library catalogue.
00000990038866	[between 1786 and 1789?]	Year of publication from British Library catalogue.
00000990039800	[between 1778 and 1803?]	Year of publication from British Library catalogue.
00000990039821	[ca. 1775]	Year of publication from British Library catalogue.
00000990038777	[between 1796 and 1801?]	Year of publication from British Library catalogue.
990040107	[between 1791 and 1800?]	Year of publication from British Library catalogue.
