001	852$c	500$a	500$a	856$u	856$x	856$z
00000990040394	F.46.		Title information: Babilons Piramiden. Leipzig: in der Breitkopf & Härtelschen Musikhandlung, [1800?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004517616	Other	Description in British Library catalogue
00000990041338	H.1652.cc.(3.)		Title information: Se un core. [London]: Monzani & Cimador, [ca. 1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004526062	Other	Description in British Library catalogue
00000990042047	R.M.15.c.6.		Title information: L'Orfeo. In Venetia: Apresso Ricciardo Amadino, MDCX.V. [1615]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533196	Other	Description in British Library catalogue
00000990042049	B.252.	Copy at B.252. Imperfect: lacking the soprano and tenor part books.	Title information: Canzonette a tre voci. in Venetia: Giacomo Vincenzi,& Ricciardo Amadino, compagni, MDLXXXIIII [1584]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533088	Other	Description in British Library catalogue
00000990042052	K.6.a.2.(1.)		Title information: Il primo libro de madrigali a cinque voci. In Venetia: Stampa del Gardano appresso Bartholomeo Magni, MDCXXI [1621]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533123	Other	Description in British Library catalogue
00000990042054	D.195.d.		Title information: Il secondo libro de madrigali a cinque voci. In Venetia: Appresso Alessandro Rauerij, MDCVII [1607]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533127	Other	Description in British Library catalogue
00000990042055	K.6.a.2.(2.)		Title information: Il secondo libro de madrigali a cinque voci. In Venetia: Stampa del Gardano appresso Bartholomeo Magni, MDCXXI [1621]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533128	Other	Description in British Library catalogue
00000990042059	D.195.	Copy at D.195. Imperfect: the basso part only.	Title information: Il terzo libro de madrigali a cinque voci. In Venetia: Appresso Ricciardo Amadino, MDCIIII. [1604]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533134	Other	Description in British Library catalogue
00000990042064	Hirsch III.942.		Title information: Il quarto libro de madrigali a cinque voci. In Venetia: Appresso Ricciardo Amadino, MDCIII [1603]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533141	Other	Description in British Library catalogue
00000990042067	D.195.g.	Copy at D.195.g. Imperfect: tenor part wanting.	Title information: Il quarto libro de madrigali a cinque voci. In Venetia: Appresso Ricciardo Amadino, M.DCXI [1611]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533142	Other	Description in British Library catalogue
00000990042070	K.6.a.2.(4.)		Title information: Quarto libro de madrigali a cinque voci. In Venetia: Stampa del Gardano appresso Bartholomeo Magni, MDCXXII. [1622]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533143	Other	Description in British Library catalogue
00000990042072	D.195.a.	Copy at D.195.a. Imperfect: Basso continuo part only.	Title information: Basso continuo del Quinto libro de li madrigali a cinque. In Venetia: Appresso Ricciardo Amadino, MDCV. [1605]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533154	Other	Description in British Library catalogue
00000990042075	D.195.h.	Copy at D.195.h. Imperfect: Alto part only.	Title information: Il quinto libro de madrigali a cinque voci. In Venetia: Appresso Ricciardo Amadino, MDCX. C [1610]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533150	Other	Description in British Library catalogue
00000990042076	D.195.i.	Copy at D.195.i. Imperfect: Canto, Basso and Quinto parts only.	Title information: Il quinto libro de madrigali a cinque voci. In Venetia: Appresso Ricciardo Amadino, 1611.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533151	Other	Description in British Library catalogue
00000990042078	D.195.e.	Copy at D.195.e. Imperfect: Canto part only.	Title information: Il quinto libro de madrigali a cinque voci. In Venetia: Appresso Ricciardo Amadino, M.DC.XV [1615]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533152	Other	Description in British Library catalogue
00000990042080	K.6.a.2.(5.)		Title information: Il quinto libro de madrigali a cinque voci. In Venetia: Stampa del Gardano appresso Bartholomeo Magni, MDCXX [1620]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533153	Other	Description in British Library catalogue
00000990042086	K.8.h.17.		Title information: Scherzi musicali. Venetia: Stampa del Gardano appresso Bartolomeo Magni, 1628.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533247	Other	Description in British Library catalogue
00000990042094	D.195.f.	Copy at D.195.f. Imperfect: Basso continuo part book only.	Title information: Concerto. In Venetia: Stampa del Gardano appresso Bartholomeo Magni, MDCXXVIII [1628]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004533166	Other	Description in British Library catalogue
00000990043925	Tyson P.M.147.(1.)		Title information: Zwey Deutsche Arien. In Wien: bey Artaria Comp., [1789?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034523	Other	Description in British Library catalogue
00000990044081	Tyson P.M.147.(4.)		Title information: Grosse sinfonie. A Vienne: chez Hoffmeister & comp; A Leipsic: au Bureau de musique, [1801]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034526	Other	Description in British Library catalogue
00000990044232	e.57.qq		Title information: XII Menuetten für das Clavier übersetzt welche in dem K.K. Redouten Saal in Wien aufgeführet worden. In Wien: bey Artaria Comp., [1791]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034468	Other	Description in British Library catalogue
00000990044242	Tyson P.M.149.(2.)		Title information: VI Ländlerische Tænze. In Wien: bey Artaria und Comp., [1795?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034554	Other	Description in British Library catalogue
00000990044323	Tyson P.M.149.(1.)		Title information: Concerto facile pour le piano-forte. A Bonn: chès N. Simrock, [1801?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034553	Other	Description in British Library catalogue
