"RISM ID","uurl1","uurl2","uurl3","uurl4","uurl5","uurl6"
"701000244","https://uurl.kbr.be/2051010","https://uurl.kbr.be/2051012","https://uurl.kbr.be/2051014","https://uurl.kbr.be/2051016","https://uurl.kbr.be/2051018","https://uurl.kbr.be/2051020"
"701000246","https://uurl.kbr.be/1816725",,,,,
"701000264","https://uurl.kbr.be/1816731",,,,,
"701000282","https://uurl.kbr.be/1816742",,,,,
"701000292","https://uurl.kbr.be/1758433",,,,,
"701000293","https://uurl.kbr.be/1759619",,,,,
"701000294","https://uurl.kbr.be/1760734",,,,,
"701000295","https://uurl.kbr.be/1760736",,,,,
"701000296","https://uurl.kbr.be/1760769",,,,,
"701000297","https://uurl.kbr.be/1758445",,,,,
"701000298","https://uurl.kbr.be/1758463",,,,,
"701000299","https://uurl.kbr.be/1758544",,,,,
"701000300","https://uurl.kbr.be/1758523",,,,,
"701000318","https://uurl.kbr.be/1768403",,,,,
"701000329","https://uurl.kbr.be/1768721",,,,,
"701000342","https://uurl.kbr.be/1907239",,,,,
"701000368","https://uurl.kbr.be/1759127",,,,,
"701000394","https://uurl.kbr.be/1759129",,,,,
"701000427","https://uurl.kbr.be/1760756",,,,,
"701000540","https://uurl.kbr.be/2035013",,,,,
"701001368","https://uurl.kbr.be/2195190",,,,,
"701001391","https://uurl.kbr.be/2180043",,,,,
"701001407","https://uurl.kbr.be/2165230",,,,,
"701001419","https://uurl.kbr.be/2165240",,,,,
"701001420","https://uurl.kbr.be/2232457",,,,,
"701001486","https://uurl.kbr.be/1921390",,,,,
"701001507","https://uurl.kbr.be/1637495",,,,,
"704000112","https://uurl.kbr.be/2070944",,,,,
"704000204","https://uurl.kbr.be/1767473",,,,,
"704000253","https://uurl.kbr.be/2151959",,,,,
"704000533","https://uurl.kbr.be/1962239",,,,,
"704000572","https://uurl.kbr.be/2083311",,,,,
"704000579","https://uurl.kbr.be/1961306",,,,,
"704000580","https://uurl.kbr.be/2089803",,,,,
"704000581","https://uurl.kbr.be/1892452",,,,,
"704000582","https://uurl.kbr.be/1892494",,,,,
"704000583","https://uurl.kbr.be/1892522",,,,,
"704000584","https://uurl.kbr.be/1892543",,,,,
"704000585","https://uurl.kbr.be/1892754",,,,,
"704000586","https://uurl.kbr.be/1892757",,,,,
"704000587","https://uurl.kbr.be/1892760",,,,,
"704000588","https://uurl.kbr.be/1892763",,,,,
"704000589","https://uurl.kbr.be/1892766",,,,,
"704000590","https://uurl.kbr.be/1892769",,,,,
"704000591","https://uurl.kbr.be/1962250",,,,,
"704000602","https://uurl.kbr.be/2068697",,,,,
"704000613","https://uurl.kbr.be/2068695",,,,,
"704000673","https://uurl.kbr.be/2062813",,,,,
"704000980","https://uurl.kbr.be/2077640",,,,,
"704000995","https://uurl.kbr.be/2070853",,,,,
"704001100","https://uurl.kbr.be/2070900",,,,,
"704001174","https://uurl.kbr.be/2078232",,,,,
"704001306","https://uurl.kbr.be/2083313",,,,,
"704001436","https://uurl.kbr.be/1809624",,,,,
"704001455","https://uurl.kbr.be/1454355",,,,,
"704001561","https://uurl.kbr.be/2089785",,,,,
"704001583","https://uurl.kbr.be/2092972",,,,,
"704001955","https://uurl.kbr.be/1892212",,,,,
"704001956","https://uurl.kbr.be/1892217",,,,,
"704001957","https://uurl.kbr.be/1895408",,,,,
"704001958","https://uurl.kbr.be/1896236",,,,,
"704002008","https://uurl.kbr.be/1892222",,,,,
"704002009","https://uurl.kbr.be/1892225",,,,,
"704002010","https://uurl.kbr.be/1892250",,,,,
"704002011","https://uurl.kbr.be/1892256",,,,,
"704002012","https://uurl.kbr.be/1892286",,,,,
"704002013","https://uurl.kbr.be/1892330",,,,,
"704002014","https://uurl.kbr.be/1892347",,,,,
"704002015","https://uurl.kbr.be/1888903",,,,,
"704002016","https://uurl.kbr.be/1892364",,,,,
"704002017","https://uurl.kbr.be/1892384",,,,,
