1	852$a	852$c	500$a1	500$a2	856$u	856$x	856$z
990042726	GB-Lbl	E.150.pp.(3.)		Title information: Aria. Lungi le cure ingrate: Raccolta d'arie: no. 219. In Vienna: presso Artaria e comp, [1797]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027938	Other	Description in British Library catalogue.
990042727	GB-Lbl	E.150.pp.(4.)		Title information: Aria. Trà [sic] l'oscure ombre funeste: Raccolta d'arie: no. 220. In Vienna: presso Artaria e comp, [1797]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027939	Other	Description in British Library catalogue.
990042728	GB-Lbl	E.150.pp.(5.)		Title information: Terzetto. Tutte le mie speranze: Raccolta d'arie: no. 221. In Vienna: presso Artaria e comp, [1797]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027940	Other	Description in British Library catalogue.
990042940	GB-Lbl	Tyson P.M.154.(7.)		Title information: Duetto. Crudel perché fin'ora: Raccolta d'arie. A Vienna: presso Artaria e Comp., [1798]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013253320	Other	Description in British Library catalogue.
990042941	GB-Lbl	Tyson P.M.154.(5.)		Title information: Duetto. Sú l'aria Che soave zeffiretto: Raccolta d'arie. In Vienna: presso Artaria & Comp., [1798]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013253306	Other	Description in British Library catalogue.
990042942	GB-Lbl	Tyson P.M.154.(8.)		Title information: Duetto. Tutto è tranquillo e placido: Raccolta d'arie. À Vienna: presso Artaria et Comp., [1798]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013253324	Other	Description in British Library catalogue.
990043865	GB-Lbl	Tyson P.M.154.(6.)		Title information: Rondo. Al desio, di chi t'adora: Raccolta d'arie. A Vienna: presso Artaria et Comp., [1798]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013253314	Other	Description in British Library catalogue.
990043282	GB-Lbl	E.150.qq.		Title information: Duetto Il core vi dono bel idolo mio: Racolta d'Arie. In Vienna: Presso Artaria Comp., [1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016029773	Other	Description in British Library catalogue.
990043827	GB-Lbl	H.2105.c.		Title information: Rondo. Scelta di scene, duetti ed arie. Offenbach sul meno: presso Giov: André, [1795].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027957	Other	Description in British Library catalogue.
990065900	GB-Lbl	h.2604.g.(11.)		Title information: Three capricios, for the harpsichord, or piano-forte. The Beauties of Apollo. London (45 Holborn): printed by J. Bland, [1788?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018307472	Other	Description in British Library catalogue.
992001163	GB-Lbl	Tyson P.M.15.(6.)		Title information: Trois sonates pour clavecin ou forte piano avec violon et violoncelle. [s.l.]: [s.n.], [ca. 1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034584	Other	Description in British Library catalogue.
990045056	GB-Lbl	Tyson P.M.146.(3.)		Title information: Trois sonates pour le clavecin, ou pianoforte avec l'accompagnement d'un violon. [Vienne]: chez Jean Cappi, [ca.1810]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034521	Other	Description in British Library catalogue.
990027942	GB-Lbl	Tyson P.M.18.(3.)		Title information: Six sonates pour le clavecin avec l'accompagnement d'un violon & violoncelle. A Amsterdam: chez J.J. Hummel, [1767]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034538	Other	Description in British Library catalogue.
990027805	GB-Lbl	Tyson P.M.11.(6.)		Title information: Trois sonates pour le clavecin ou piano forte avec un violon & violoncel. A Berlin; à Amsterdam: chés J.J. Hummel, [1786]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034569	Other	Description in British Library catalogue.
990045354	GB-Lbl	h.405.yy.(1.)		Title information: Fantasia et sonata. À Berlin avec privilége du Roi; à Amsterdam au Grand Magazin de Musique et aux addresses ordinaires: chés J. J. Hummel, [1791].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027945	Other	Description in British Library catalogue.
990027479	GB-Lbl	Tyson P.M.14.		Title information: Concerto pour violoncelle. A Charenton près Paris: chez Vernay à l'imprimerie lithographique; à Paris: au depot chez Mme Duhan et comp, [1803]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034578	Other	Description in British Library catalogue.
990003543	GB-Lbl	i.265.g.		Title information: Quintetto pour cor de bassette, 2 violons, alto et violoncelle, oeuvre 9. A Leipsic: chez Breitkopf & Härtel, [1803?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016419964	Other	Description in British Library catalogue.
990027740	GB-Lbl	Tyson P.M.19.(4.)		Title information: Deux quatuors pour 2 violons alto et basse. A Leipsic: chez Breitkopf et Härtel, [1802]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034545	Other	Description in British Library catalogue.
990045251	GB-Lbl	Tyson P.M.149.(7.)		Title information: Grande sonate à quatre mains pour le piano-forte. A Leipzig: au Bureau de musique, [1818?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034559	Other	Description in British Library catalogue.
990028145	GB-Lbl	Tyson P.M.15.(2.)		Title information: Sonatine pour piano-forté. A Offenbach s/M: chez Jean André, [1805]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034580	Other	Description in British Library catalogue.
990044282	GB-Lbl	h.405.yy.(2.)		Title information: Concerto pour le basson, avec accompagnement de deux violons, alto, basse, deux haut-bois et deux cors. A Offenbach s/M: chez Jean André, [1805]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027947	Other	Description in British Library catalogue.
991018608	GB-Lbl	h.1790.ee.		Title information: Six quatuors pour deux violons, alto & basse, oeuvre premier. A Offenbach sur le Mein: chès J. André, [ca. 1791]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016028050	Other	Description in British Library catalogue.
990044187	GB-Lbl	i.246.a.		Title information: Grande sinfonie à plusieurs instruments. A Offenbach sur le Mein: chez J. André, [1792].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027941	Other	Description in British Library catalogue.
990027815	GB-Lbl	Tyson P.M.11.(7.)		Title information: Trois sonates pour le clavecin ou piano-forté, avec accompagnement d'un violon et violoncelle. A Offenbach sur le Mein,: chez I. André, [1786]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034570	Other	Description in British Library catalogue.
990008504	GB-Lbl	B.736.e.		Title information: La sérénade venitienne. A Paris: chez Christophe Ballard, 1703.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005291776	Other	Description in British Library catalogue.
990024212	GB-Lbl	h.140.xx.(4.)		Title information: Trois quatuors concertants pour duex violons, alto et basse. A Paris: chez Imbault, [1794]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016735887	Other	Description in British Library catalogue.
990052423	GB-Lbl	h.1729.xx.		Title information: Sei Sonate a violino solo col basso, opera prima. A Paris: chez Madame Boivin; chez Monsieur Le Clerc; A Lyon: chez Mr de Brotonne, [ca. 1745]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013514430	Other	Description in British Library catalogue.
990034409	GB-Lbl	i.309.g.(3.)		Title information: Trois sonates pour clavecin ou forté-piano avec violon et basse, œuvre XXXIIIme. A Paris: Chez Sieber musicien,, [1793]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016735902	Other	Description in British Library catalogue.
990066279	GB-Lbl	h.3212.oo.(1.)		Title information: Trois grands duos concertans pour deux flûtes. À Paris, au Mont d'Or, rue St. Honoré, no. 125, près celle des Poulies: Janet et Cotelle, [1817?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018465996	Other	Description in British Library catalogue.
990034454	GB-Lbl	e.368.n.(4.)		Title information: Sonate pour le clavecin ou piano forté a 4 mains. A Vienne: chez Chr: Torricella, [1784]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034381	Other	Description in British Library catalogue.
990027445	GB-Lbl	Tyson P.M.18.(5.)		Title information: Ouverture à 2 violons, 2 obois, 2 fagotts, flute, 2 cors, viole, et basse. A Vienne: chez Hoffmeister, [1786?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034540	Other	Description in British Library catalogue.
990045212	GB-Lbl	Tyson P.M.149.(6.)		Title information: Deux sonates à quatre mains pour le piano-forte. A Vienne: chez Jean Cappi, [ca.1805]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034558	Other	Description in British Library catalogue.
990045563	GB-Lbl	Tyson P.M.149.(4.)		Title information: XII Variations pour le clavecin ou piano-forte. A Vienne: chez Jean Cappi, [ca.1805]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034556	Other	Description in British Library catalogue.
990045685	GB-Lbl	Tyson P.M.148.(5.)		Title information: Menuetto avec trio pour le piano-forte. A Vienne: chez T. Mollo et Comp., [1801]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034551	Other	Description in British Library catalogue.
990047030	GB-Lbl	h.1790.n.		Title information: Trois duos concertants. Augsbourg: chez Gombart et Comp., [ca. 1803]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013668470	Other	Description in British Library catalogue.
991004212	GB-Lbl	e.552.l.(1.)		Title information: Neuf variations sur l'air God save the King &c. Hambourg: chés Günther et Böhme, [1799]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034108	Other	Description in British Library catalogue.
990043385	GB-Lbl	e.57.xx.(6.)		Title information: Ouverture aus der Oper Die Zauberflöte. In Maintz: bei B. Schott, [1794]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027949	Other	Description in British Library catalogue.
990023592	GB-Lbl	e.174.kk.		Title information: Orfeo Perregrino. In Milano: per Gio. Francesco, & frateili Camagni Stampatori vicino alla Chiesa della Rosa; 1659.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01015668020	Other	Description in British Library catalogue.
990044528	GB-Lbl	Tyson P.M.26.(4.)		Title information: Grand quintetto per due violini, due viole e violoncello. In Vienna presso: T. Mollo e Comp., [ca. 1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005030938	Other	Description in British Library catalogue.
990044229	GB-Lbl	Tyson P.M.146.(2.)		Title information: XII. Menuetten für das Clavier übersetzt welche in dem K. K. Redouten Saal in Wien aufgeführet worden. In Wien: bey Artaria Compa., [ca.1795]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034520	Other	Description in British Library catalogue.
990067576	GB-Lbl	i.287.t.		Title information: Six concertos for the organ or harpsichord with instrumental parts. London (Gerrard Street): Printed by Peter Welcker, [approximately 1765]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01015555813	Other	Description in British Library catalogue.
990044252	GB-Lbl	h.405.yy.(13.)		Title information: Three waltzes. London: Mitchell's musical library, [WM1813].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027976	Other	Description in British Library catalogue.
990030429	GB-Lbl	H.1771.gg.(9.)		Title information: When the mind is in tune. London: Printed & sold at A. Bland & Wellers Music Warehouse, [1795?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016037098	Other	Description in British Library catalogue.
990059495	GB-Lbl	A.959.ww.(1.)		Title information: The comic opera of the poor soldier. London: Printed & sold at Bland & Wellers, Music Warehouse, 23 Oxford Street, [ca. 1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01015599609	Other	Description in British Library catalogue.
990003228	GB-Lbl	h.4261.uu.(1.)		Title information: Six concerti pour le clavecin, deux violons & une violoncelle, oevre premier. London: Printed and sold by Preston and Son, [ca. 1789]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018298123	Other	Description in British Library catalogue.
990045245	GB-Lbl	Tyson P.M.34.(2.)		Title information: A duet for two performers on one piano forte or harpsichord. London: printed for R. Birchall, [1800?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034499	Other	Description in British Library catalogue.
990013467	GB-Lbl	h.2070.e.		Title information: Three duets for the piano forte & German flute or violin. London: Printed for the Proprietor, [ca.1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013457279	Other	Description in British Library catalogue.
990011766	GB-Lbl	h.140.ff.(2.)		Title information: The periodical overture in 8 parts. London: R. Bremner, [ca. 1765].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013628477	Other	Description in British Library catalogue.
990028079	GB-Lbl	Tyson P.M.11.(10.)		Title information: A fifth sett of sonatas for the piano forte or harpsichord. London: Robert Birchall, [1789]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034573	Other	Description in British Library catalogue.
990028439	GB-Lbl	Tyson P.M.11.(5.)		Title information: A favorite overture. London: W. Forster, [1782?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034568	Other	Description in British Library catalogue.
990002741	GB-Lbl	H.1771.rr.(17.)		Title information: The harp's wild notes. London, No. 3 Old Bond Street: Monzani & Co., [between 1807 and 1813]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013499010	Other	Description in British Library catalogue.
990048572	GB-Lbl	h.1423.h.		Title information: Raccolta di overture, e symphonie, per due violini, e un basso, da raddoppiarsi a piacimento ;. Londra: sold by the author; also by John Walsh, 1751.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013628509	Other	Description in British Library catalogue.
990000255	GB-Lbl	h.3690.g.(8.)		Title information: Air du bon Roi Dagobert. Paris: chez Mme. Duhan, [1808?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018729782	Other	Description in British Library catalogue.
990001047	GB-Lbl	H.2134.mm.		Title information: Erwin und Elmire. Offenbach am Mayn: bey dem Verfasser, [1776]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016590455	Other	Description in British Library catalogue.
990001439	GB-Lbl	E.100.ww.(1.)		Title information: Cymon. London: printed by Iohn Iohnston, near Exeter Change in the Strand, and Messrs. Longman, Luckey and C.⁰, n⁰26 in Cheapside, [ca. 1775]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013586703	Other	Description in British Library catalogue.
