1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850607902,,08 aprile del 1842,,,Autograph manuscript,non applicabile,
850607942,,1832,,260x355 mm,Autograph manuscript,non applicabile,
850607944,,[1801-1900],,305x230 mm,Autograph manuscript,non applicabile,
850607945,,[1801-1900],,260x350 mm,Autograph manuscript,non applicabile,
850608165,,1833-1835,,a) 230x320 mm; b) 230x330 mm,Autograph manuscript,non applicabile,
850608166,,10 giugno del 1852,,230x320 mm.,Autograph manuscript,non applicabile,
850608812,,[1811-1840],,245x335 mm,Autograph manuscript,non applicabile,
850609094,,[1701-1800],,,Autograph manuscript,non applicabile,
850609097,,[1801-1900],,235x320-330 mm,Autograph manuscript,non applicabile,
850609098,,[1801-1900],,,Autograph manuscript,non applicabile,
850609118,,02 marzo del 1840,,220x320 mm,Autograph manuscript,non applicabile,
850609119,,[1801-1900],,225x315 mm,Autograph manuscript,non applicabile,
850609249,,[1791-1810],,,Autograph manuscript,non applicabile,
850609250,,[1791-1810],,,Autograph manuscript,non applicabile,
850609251,,[1791-1810],,230x300 mm,Autograph manuscript,non applicabile,
850609253,,[1811-1840],,,Autograph manuscript,non applicabile,
850609278,,[1811-1840],,240x325 mm,Autograph manuscript,non applicabile,
850609318,,[1811-1840],,,Autograph manuscript,non applicabile,
850609412,,1839-1848,,235x320 mm,Autograph manuscript,non applicabile,
850609413,,1839-1847,,230x320 mm,Autograph manuscript,non applicabile,
850609414,,1847-1848,,,Autograph manuscript,non applicabile,
850609415,,1820-1847,,230x320 mm,Autograph manuscript,non applicabile,
850609416,,1839-1848,,230x320 mm,Autograph manuscript,non applicabile,
850609573,,[1791-1810],,225x315 mm,Autograph manuscript,non applicabile,
850609577,,19 maggio del 1844,,235x320 mm.,Autograph manuscript,non applicabile,
850609578,,[1811-1840],,220x310 mm,Autograph manuscript,non applicabile,
850609825,,1822,,225x310 mm,Autograph manuscript,non applicabile,
850609826,,[1811-1840],,230x330 mm,Autograph manuscript,non applicabile,
850609974,,19 giugno del 1831,,220x310 mm,Autograph manuscript,non applicabile,
850610228,,[1791-1810],,220x315 mm,Autograph manuscript,non applicabile,
850610229,,[1811-1840],,230x300 mm.,Autograph manuscript,non applicabile,
850610230,,[1811-1840],,220x290 mm,Autograph manuscript,non applicabile,
850610534,,28 giugno del 1840,,230x325 mm,Autograph manuscript,non applicabile,
850610681,,settembre del 1837,,225x315 mm,Autograph manuscript,non applicabile,
850610682,,29 agosto del 1839,,225x320 mm,Autograph manuscript,non applicabile,
850610683,,28 agosto del 1839,,225x315 mm,Autograph manuscript,non applicabile,
850610827,,[1791-1810],,230x300 mm,Autograph manuscript,non applicabile,
850611627,,[1701-1800],,240x330 mm,Autograph manuscript,non applicabile,
850611628,,[1701-1800],,235x325 mm,Autograph manuscript,non applicabile,
850611792,,[1791-1810],,,Autograph manuscript,non applicabile,
850611793,,[1791-1810],,235x290 mm,Autograph manuscript,non applicabile,
850640116,,[1801-1900],,240 x 330 mm,Autograph manuscript,non applicabile,
850640118,,[1801-1900],,240 x 330 mm,Autograph manuscript,non applicabile,
850657058,,[1911-1940],,310x240 mm,Autograph manuscript,non applicabile,
850657391,,[1841-1860],,349x264 mm.,Autograph manuscript,non applicabile,
850657554,,[1841-1860],,245x310 mm,Autograph manuscript,non applicabile,
850657555,,[1861-1890],,226x291 mm,Autograph manuscript,non applicabile,
850657672,,[1911-1940],,300x240 mm,Autograph manuscript,non applicabile,
850657675,,[1911-1940],,310x240 mm,Autograph manuscript,non applicabile,
850657694,,[1911-1940],,292x224 mm,Autograph manuscript,non applicabile,
850657709,,[1901-1910],,290x225 mm,Autograph manuscript,non applicabile,
850657843,,[1911-1940],,,Autograph manuscript,non applicabile,
850658977,Barletta (Ba),04 settembre del 1947,,295x220 mm,Autograph manuscript,non applicabile,
850662595,,[1911-1940],,340x235 mm,Autograph manuscript,non applicabile,
850669051,,[1861-1890],,229x280 mm,Autograph manuscript,non applicabile,
850669202,,[1911-1940],,300x230 mm.,Autograph manuscript,non applicabile,
850669204,,[1911-1940],,330x240 mm,Autograph manuscript,non applicabile,
850669263,,[1911-1940],,300x230 mm.,Autograph manuscript,non applicabile,
850669439,,[1911-1940],,162x242 mm,Autograph manuscript,non applicabile,
850669475,,[1911-1940],,315x226 mm,Autograph manuscript,non applicabile,
850669611,,[1901-1910],,310x232 mm,Autograph manuscript,non applicabile,
850670722,,[1841-1860],,232x292 mm,Autograph manuscript,non applicabile,
850671350,,06 dicembre del 1840,,220x280 mm,Autograph manuscript,non applicabile,
850671376,,[1911-1940],,200x300 mm,Autograph manuscript,non applicabile,
850671382,,[1911-1940],,290x220 mm.,Autograph manuscript,non applicabile,
850673588,,[1861-1890],,227x290 mm.,Autograph manuscript,non applicabile,
850673601,,1842,,230x290 mm.,Autograph manuscript,non applicabile,
850673777,,[1891-1900],,230x290 mm.,Autograph manuscript,non applicabile,
850674599,,[1911-1940],,310x230 mm,Autograph manuscript,non applicabile,
850674627,,[1811-1840],,230x295 mm,Autograph manuscript,non applicabile,
850674854,,[1911-1940],,355x273 mm,Autograph manuscript,non applicabile,
850674950,,[1911-1940],,355x270 mm,Autograph manuscript,non applicabile,
850674958,,18 gennaio del 1892,,162x223 mm,Autograph manuscript,non applicabile,
850674959,,1892,,160x222 mm,Autograph manuscript,non applicabile,
850675095,,[1891-1900],,240x307 mm,Autograph manuscript,non applicabile,
850675541,,[1901-1910],,310x232 mm.,Autograph manuscript,non applicabile,
850676001,,[1901-1910],,310x226 mm,Autograph manuscript,non applicabile,
850676981,,[1901-1910],,290x225 mm,Autograph manuscript,non applicabile,
850676983,,[1901-1910],,220x285 mm,Autograph manuscript,non applicabile,
850676984,,[1901-1910],,290x214 mm,Autograph manuscript,non applicabile,
