1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850726587,,,,,,,
850726588,,,,,,,
850726589,,,,,,,
850726590,,,,,,,
850726593,,,1 score,24 x 32 cm,,,
850726594,,,1 score,23 x 33 cm,,,
850726595,,,1 score,23 x 32 cm.,,,
850726596,,,1 score,23 x 32 cm.,,,
850726597,,,1 score,23 x 32 cm.,,,
850726598,,,1 score,23 x 32 cm.,,,
850726599,,,1 score,23 x 32 cm.,,,
850726600,,,1 score,23 x 32 cm.,,,
850726751,,,,,,,
850813666,[Prato],[1850-1899],5 parts,,,,
850726753,,,,,,,
850726778,,,,,,,
850726779,,,,,,,
850726780,,,,,,,
850726869,,,1 score,,,,
850726870,,,1 score,,,,
850726871,,,1 score,,,,
850726886,,,,,,,
850694446,,,parts,,,parti,
850726888,,,,,,,
850726889,,,,,,,
850726890,,,,,,,
850726891,,,,,,,
850726892,,,,,,,
850726893,,,,,,,
850694511,,,parts,,,parti,
850726895,,,,,,,
850726896,,,,,,,
850726947,,,,,,,
850810283,[Prato],,5 parts,"295 mm, 225x295 mm (org)",,,
850810627,[Prato],,5 parts,295 mm,,,
850726951,,,,,,,
850810204,[Prato],[1800-1849],5 parts,295x225 mm,,,
850726953,,,,,,,
850726958,,,,,,,
850726969,,,,,,,
850726970,,,,,,,
850726971,,,,,,,
850726972,,,,,,,
850726973,,,,,,,
850727087,,,,,,,
850727088,,,,,,,
850727159,,,,,,,
850727160,,,,,,,
850727161,,,,,,,
850727162,,,,,,,
850727163,,,,,,,
850727164,,,,,,,
850727165,,,,,,,
850727166,,,,,,,
850727167,,,,,,,
850727168,,,,,,,
850727169,,,,,,,
850727170,,,,,,,
850727279,,,,,,,
850727280,,,,,,,
850727281,,,,,,,
850727282,,,,,,,
850727283,,,,,,,
850694550,,,parts,,,parti,
850727285,,,,,,,
850727286,,,,,,,
850727287,,,,,,,
850727288,,,,,,,
850727289,,,,,,,
850727403,,,1 score,30 x 22 cm,,,
850727404,,,1 score,29 x 21 cm.,,,
850727462,,,1 score,,,,
850727463,,,1 score,,,,
850727464,,,1 score,,,,
850727465,,,1 score,,,,
850727466,,,,,,,
850797646,,[1801-1810],1 score + parts,200x270 mm.,,partitura e parti,
850727468,,,,,,,
850727469,,,1 score,,,,
850727470,,,1 score,,,,
850727471,,,1 score,,,,
850727472,,,1 score,,,,
850727497,,,,44 x 34 cm.,,,
850727498,,,,44 x 34 cm.,,,
850727499,,,,44 x 34 cm.,,,
850727500,,,,44 x 34 cm.,,,
850727501,,,,44 x 34 cm.,,,
850727502,,,,44 x 34 cm.,,,
850694551,,,parts,,,parti,
850727553,,,,,,,
850727592,,,1 score,28 x 21 cm.,,,
850727656,,,1 score,,,,
850727657,,,1 score,,,,
850727658,,,1 score,,,,
850727659,,,,,,,
850727660,,,1 score,,,,
850727661,,,,,,,
850727715,,,,22 x 15 cm,,,
850727716,,,,16 x 11 cm,,,
850727717,,,,15 x 11 cm.,,,
850727718,,,,15 x 11 cm,,,
850727719,,,,15 x 11 cm,,,
850727764,,,1 score,25 x 33 cm.,,,
850727765,,,1 score,25 x 33 cm.,,,
850727766,,,1 score,25 x 33 cm.,,,
850797368,,[1801-1810],1 score + parts,210x290 mm.,,partitura e parti,
850727825,,,,,,,
850727826,,,1 score,,,,
850727827,,,1 score,,,,
850727828,,,1 score,,,,
850727829,,,,,,,
850796947,,[1801-1810],1 score + parts,210x300 mm.,,partitura e parti,
850727831,,,,,,,
850727832,,,1 score,,,,
850727833,,,,,,,
850727875,,,,44 x 34 cm,,,
850727876,,,,44 x 34 cm.,,,
850727877,,,,44 x 34 cm.,,,
850727905,,,,21 x 15 cm.,,,
850727906,,,,21 x 15 cm.,,,
850727907,,,,21 x 15 cm.,,,
850727908,,,,21 x 15 cm.,,,
850727909,,,,21 x 15 cm.,,,
850727916,,,,16 x 11 cm.,,,
850727918,,,,,,,
850727919,,,,,,,
850727955,,,1 score,25 x 34 cm.,,,
850727956,,,1 score,25 x 34 cm.,,,
850727957,,,1 score,24 x 32 cm.,,,
850727958,,,1 score,24 x 32 cm.,,,
850727959,,,1 score,24 x 32 cm.,,,
850727961,,,1 score,24 x 33 cm,,,
850795772,,[1801-1810],1 score + parts,210x290 mm.,,partitura e parti,
850728025,,,,,,,
850728026,,,1 score,,,,
850728035,,,,,,,
850728036,,,,,,,
850728037,,,,,,,
850728038,,,,,,,
850728039,,,,,,,
850728040,,,,,,,
850728092,,,,15 x 11 cm,,,
850728093,,,,15 x 11 cm,,,
850728094,,,,21 x 15 cm.,,,
850728095,,,,21 x 15 cm.,,,
850728131,,,,,,,
850728132,,,,,,,
850728133,,,1 score,35 x 25 cm.,,,
850728137,,,1 part,27 x 18 cm,,,
850728138,,,1 score,33 x 24 cm,,,
850728139,,,1 score,34 x 26 cm.,,,
850728140,,,1 score,34 x 25 cm.,,,
850728141,,,1 score,31 x 24 cm.,,,
850728142,,,1 score,25 x 33 cm.,,,
850728144,,,1 score,24 x 32 cm.,,,
850728200,,,1 score,,,,
850728201,,,1 score,,,,
850728202,,,1 score,,,,
850728245,,,1 score,23 x 32 cm.,,,
850728268,,,,23 x 16 cm.,,,
850728269,,,,23 x 16 cm.,,,
850728270,,,,35 x 21 cm,,,
850728271,,,,35 x 21 cm.,,,
850728272,,,,35 x 21 cm.,,,
850728273,,,,35 x 21 cm.,,,
850728274,,,,35 x 21 cm.,,,
850728275,,,,21 x 15 cm.,,,
850728276,,,,21 x 15 cm.,,,
850728277,,,,21 x 15 cm.,,,
850728278,,,,21 x 15 cm.,,,
850728279,,,,21 x 15 cm.,,,
850728280,,,,21 x 15 cm.,,,
850728281,,,,21 x 15 cm.,,,
850728282,,,,21 x 15 cm.,,,
850728283,,,,21 x 15 cm.,,,
850728284,,,,21 x 15 cm.,,,
850728285,,,,21 x 15 cm.,,,
850728286,,,,21 x 15 cm.,,,
850728287,,,,21 x 15 cm.,,,
850728320,[Spartito],,1 short score,25 x 34 cm,,,
850728322,,,1 score,25 x 34 cm,,,
850728323,,,1 score,33 x 24 cm.,,,
850728324,,,1 score,33 x 25 cm.,,,
850728326,,,1 score,25 x 35 cm.,,,
850728327,,,1 score,34 x 24 cm.,,,
850728328,,,1 score,32 x 26 cm.,,,
850728329,,,1 score,32 x 26 cm.,,,
850728330,,,1 score,32 x 26 cm.,,,
850728331,,,1 score,32 x 26 cm.,,,
850728332,,,1 score,32 x 26 cm.,,,
850728333,,,1 score,25 x 33 cm.,,,
850728334,,,1 score,25 x 33 cm.,,,
850694657,,,parts,,,parti,
850728425,,,,,,,
850728476,,,,35 x 21 cm.,,,
850728477,,,,35 x 21 cm.,,,
850728478,,,,35 x 21 cm.,,,
850728479,,,,21 x 15 cm,,,
850728480,,,,21 x 15 cm.,,,
850728513,,,,,,,
850728514,,,,,,,
850728515,,,,,,,
850728516,,,,,,,
850728517,,,,,,,
850728518,,,,,,,
850728519,,,,,,,
850728520,,,,,,,
850728521,,,,,,,
850728522,,,,,,,
850728523,,,,,,,
850728524,,,,,,,
850728525,,,,,,,
850728526,,,1 score,32 x 26 cm.,,,
850728527,,,1 score,32 x 26 cm.,,,
850728528,,,1 score,32 x 26 cm.,,,
850728529,,,1 score,32 x 26 cm.,,,
850728530,,,1 score,24 x 32 cm.,,,
850728531,,,1 score,31 x 25 cm.,,,
850728532,,,1 score,33 x 24 cm.,,,
850728533,,,1 part,27 x 18 cm,,,
850728707,,,,,,,
850728708,,,,,,,
850728709,,,1 score,32 x 24 cm.,,,
850728710,,,1 score,33 x 24 cm,,,
850728713,,,1 score,23 x 33 cm,,,
850728717,,,1 score,32 x 26 cm.,,,
850728718,,,1 score,32 x 26 cm.,,,
850728795,,,1 score,,,,
850728796,,,1 score,,,,
850728797,,,1 score,,,,
850728798,,,1 score,,,,
850728914,,,1 score,32 x 26 cm.,,,
850728954,,,1 score,23 x 33 cm,,,
850728975,,,1 score,,,,
850728976,,,1 score,,,,
850728977,,,1 score,,,,
850728978,,,1 score,,,,
850728979,,,1 score,,,,
850728980,,,1 score,,,,
850728981,,,1 score,,,,
850728982,,,1 score,,,,
850728989,,,1 score,,,,
850728990,,,1 score,,,,
850796463,,[1791-1800],1 score + parts,220x280 mm.,,partitura e parti,
850728995,,,1 score,,,,
850728996,,,1 score,,,,
850729133,,,,,,,
850729134,,,,,,,
850729135,,,,,,,
850729136,,,,,,,
850729137,,,,,,,
850729138,,,,,,,
850729142,,,1 score,23 x 33 cm.,,,
850729143,,,1 score,23 x 33 cm.,,,
850729144,,,1 score,23 x 33 cm.,,,
850729145,,,1 score,23 x 33 cm.,,,
850729146,,,1 score,23 x 33 cm.,,,
850729268,,,1 score,,,,
850729269,,,1 score,,,,
850729270,,,1 score,,,,
850729333,,,,,,,
850729334,,,,,,,
850694806,,,parts,,,parti,
850729349,,,,,,,
850729350,,,,,,,
850729351,,,,,,,
850729371,,,1 score,,,,
850729372,,,,,,,
850729373,,,,,,,
850729374,,,,,,,
850729375,,,,,,,
850729376,,,,,,,
850729517,,,,,,,
850729518,,,,,,,
850729519,,,,,,,
850729520,,,,,,,
850729521,,,,,,,
850729522,,,,,,,
850729523,,,,,,,
850729524,,,,,,,
850729525,,,,,,,
850729526,,,,,,,
850729527,,,,,,,
850729528,,,,,,,
850729564,,,,,,,
850729565,,,,,,,
850729566,,,,,,,
850729567,,,,,,,
850729568,,,,,,,
850729569,,,,,,,
850729570,,,,,,,
850729571,,,,,,,
850694807,,,parts,,,parti,
850729690,,,,,,,
850729691,,,,,,,
850803458,[Prato],[1900?],58 parts,32 cm,,,
850729747,,,,,,,
850729748,,,,,,,
850814620,[Prato],[1850-1899],6 parts,"300 × 220 mm, 305 × 230 mm (Br and un T conc), 330 × 230 mm (ob)",,,
850729752,,,1 score,29 x 21 cm.,,,
850729753,,,1 score,29 x 21 cm,,,
850729773,,,,,,,
850729774,,,,,,,
850729775,,,,,,,
850729776,,,,,,,
850729777,,,,,,,
850729778,,,,,,,
850729779,,,,,,,
850729780,,,,,,,
850730004,,,1 score,23 x 31 cm.,,,
850730006,,,1 score,24 x 33 cm.,,,
850730007,,,1 score,24 x 33 cm.,,,
850730008,,,,,,,
850730009,,,,,,,
850730078,,,,23 x 32 cm.,,,
850730079,,,1 score,23 x 32 cm.,,,
850730080,,,1 score,23 x 32 cm.,,,
850730081,,,1 score,23 x 32 cm.,,,
850730082,,,1 part,23 x 32 cm,,,
850730093,,,1 part,23 x 32 cm.,,,
850730094,,,1 part,23 x 32 cm.,,,
850730095,,,1 part,23 x 32 cm.,,,
850730096,,,1 part,23 x 32 cm.,,,
850730114,,,1 score,24 x 32 cm.,,,
850730115,,,1 score,24 x 32 cm.,,,
850730218,,,,,,,
850730290,,,1 score,23 x 32 cm,,,
850730293,,,1 score,23 x 32 cm.,,,
850730294,,,1 score,24 x 31 cm.,,,
850730295,,,1 score,27 x 36 cm.,,,
850730301,,,1 score,32 x 23 cm,,,
850730304,,,,22 x 32 cm.,,,
850730305,,,,23 x 32 cm,,,
850730306,,,,23 x 32 cm,,,
850730390,,,,,,,
850730391,,,,,,,
850730392,,,,,,,
850730393,,,,,,,
850730426,,,1 score + parts,23 x 32 cm,,,
850730434,,,1 score,,,,
850730435,,,1 score,,,,
850730437,,,1 score,,,,
850730438,,,1 score,,,,
850730440,,,1 score,,,,
850730441,,,1 score,,,,
850730444,,,,,,,
850730456,,,,,,,
850730457,,,,,,,
850730458,,,,,,,
850730459,,,,,,,
850730460,,,,,,,
850730461,,,,,,,
850730462,,,,,,,
850730463,,,,,,,
850730496,,,1 score,23 x 31 cm,,,
850730497,,,1 score,23 x 31 cm.,,,
850730498,,,1 score,23 x 31 cm.,,,
850730499,,,1 score,23 x 31 cm.,,,
850730500,,,1 score,23 x 31 cm.,,,
850730501,,,1 score,23 x 31 cm.,,,
850730502,,,1 score,23 x 31 cm.,,,
850730503,,,1 score,23 x 31 cm.,,,
850730504,,,1 score,23 x 31 cm.,,,
850730507,,,1 score + parts,23 x 33 cm.,,,
850730508,,,1 score,23 x 32 cm.,,,
850730537,,,1 score + parts,23 x 32 cm.,,,
850730538,,,1 part,23 x 32 cm,,,
850730539,,,1 score,23 x 33 cm,,,
850730540,,,1 score,23 x 32 cm,,,
850730541,,,,,,,
850730542,,,1 score,23 x 31 cm,,,
850730543,,,1 score,23 x 31 cm,,,
850730544,,,1 score,23 x 31 cm,,,
850730545,,,1 score,23 x 31 cm,,,
850730546,,,,,,,
850730602,,,,,,,
850730603,,,,,,,
850730604,,,,,,,
850730605,,,,,,,
850730606,,,,,,,
850730607,,,,,,,
850730608,,,,,,,
850730609,,,,,,,
850730610,,,,,,,
850730611,,,,,,,
850730675,,,,,,,
850730676,,,,,,,
850730677,,,,,,,
850730678,,,,,,,
850730679,,,,,,,
850730723,,,1 part,31 x 24 cm,,,
850730734,,,1 part,26 x 34 cm,,,
850730735,,,1 part,26 x 33 cm,,,
850730852,,,,,,,
850730856,,,1 score,23 x 32 cm.,,,
850730858,,,1 score,24 x 33 cm.,,,
850730859,,,1 score,24 x 33 cm.,,,
850730869,,,1 score,,,,
850730870,,,1 score,,,,
850730887,,,,,,,
850730888,,,,,,,
850730889,,,,,,,
850730890,,,,,,,
850730927,,,1 score,22 x 32 cm,,,
850730928,,,1 score,22 x 32 cm.,,,
850730929,,,1 score,22 x 32 cm.,,,
850730930,,,1 score,22 x 32 cm.,,,
850730931,,,1 score,22 x 32 cm.,,,
850730932,,,1 score,22 x 32 cm,,,
850730933,,,1 score,22 x 32 cm.,,,
850730934,,,1 score,22 x 32 cm.,,,
850730965,,,1 part,12 x 32 cm,,,
850730966,,,1 score + parts,,,,
850730967,,,1 part,23 x 32 cm,,,
850730968,,,1 score + parts,23 x 32 cm.,,,
850730969,,,1 score + parts,23 x 32 cm.,,,
850730970,,,1 score,23 x 32 cm.,,,
850730971,,,1 score + parts,23 x 32 cm.,,,
850730972,,,1 score,23 x 32 cm.,,,
850730973,,,1 score + parts,23 x 32 cm.,,,
850730974,,,1 score + parts,23 x 33 cm,,,
850730975,,,1 score + parts,23 x 32 cm.,,,
850730976,,,1 score + parts,23 x 32 cm.,,,
850730991,,,1 score,39 x 32 cm,,,
850730992,,,1 score,11 x 32 cm,,,
850731076,,,1 score,21 x 30 cm,,,
850731077,,,1 score,21 x 30 cm.,,,
850731078,,,1 score,21 x 30 cm.,,,
850731079,,,1 score,21 x 30 cm.,,,
850731103,,,,,,,
850731104,,,,,,,
850731105,,,,,,,
850731106,,,,,,,
850731107,,,,,,,
850731200,,,1 score,24 x 32 cm,,,
850731201,,,1 score,23 x 32 cm.,,,
850731202,,,1 score,23 x 32 cm.,,,
850731203,,,1 score,24 x 31 cm.,,,
850731204,,,1 score,23 x 30 cm.,,,
850731205,,,1 score,23 x 32 cm,,,
850731359,,,1 score,23 x 32 cm,,,
850796716,,[1801-1810],1 score + parts,220x300 mm.,,partitura e parti,
850731361,,,1 score,24 x 32 cm,,,
850731362,,,1 score,24 x 32 cm.,,,
850731363,Vicenza,,,38 x 23 cm,,,
850731403,,,1 score,32 x 24 cm,,,
850731404,,,1 score + parts,23 x 32 cm,,,
850731419,,,1 score,24 x 33 cm.,,,
850731420,,,1 score,23 x 32 cm.,,,
850731421,,,1 score,23 x 32 cm.,,,
850731422,,,1 score,23 x 32 cm.,,,
850731423,,,1 score,23 x 32 cm.,,,
850731437,,,1 score + parts,23 x 32 cm.,,,
850731452,,,1 score + parts,31 x 22 cm,,,
850731453,,,1 score,31 x 22 cm.,,,
850731454,,,1 score,31 x 22 cm.,,,
850731455,,,1 score,31 x 22 cm.,,,
850731456,,,1 score,31 x 22 cm.,,,
850731457,,,1 score,31 x 22 cm.,,,
850731458,,,1 score,31 x 22 cm.,,,
850731630,,,1 score,24 x 33 cm.,,,
850731631,,,1 score,24 x 32 cm,,,
850731632,,,1 score,24 x 32 cm.,,,
850731633,,,1 score,24 x 32 cm.,,,
850731634,,,1 score,24 x 32 cm.,,,
850731635,,,1 score,24 x 32 cm.,,,
850731636,,,1 score,24 x 32 cm.,,,
850731717,,,1 score,24 x 33 cm.,,,
850731864,,,1 score,23 x 32 cm,,,
850731865,,,1 score,23 x 32 cm.,,,
850731866,,,1 score,23 x 32 cm.,,,
850731930,,,1 score,24 x 33 cm.,,,
850731931,,,1 score,24 x 33 cm.,,,
850731932,,,1 score,24 x 33 cm.,,,
850731933,,,1 score,24 x 33 cm.,,,
850731934,,,1 score,24 x 33 cm.,,,
850731935,,,1 score,24 x 33 cm.,,,
850731936,,,1 score,24 x 33 cm.,,,
850731937,,,1 score,24 x 33 cm.,,,
850731938,,,1 score,24 x 33 cm.,,,
850731939,,,1 score,24 x 33 cm.,,,
850731940,,,1 score,24 x 33 cm.,,,
850731941,,,1 score,24 x 33 cm.,,,
850731942,,,1 score,24 x 33 cm.,,,
850732072,,,1 score,24 x 32 cm.,,,
850732307,,,1 score,24 x 31 cm,,,
850732308,,,1 part,23 x 33 cm.,,,
850732310,,,1 part,23 x 32 cm,,,
850732315,,,1 score,31 x 23 cm,,,
850732316,,,1 score,24 x 33 cm,,,
850732379,,,1 score,24 x 32 cm,,,
850732380,,,1 score,24 x 32 cm.,,,
850732381,,,1 score,24 x 32 cm.,,,
850732382,,,1 score,24 x 33 cm,,,
850732383,,,1 score,24 x 33 cm,,,
850732424,,,1 score,23 x 33 cm.,,,
850732425,,,1 score,23 x 33 cm.,,,
850732426,,,1 score,23 x 33 cm,,,
850732427,,,1 score,23 x 33 cm,,,
850732428,,,1 score,23 x 33 cm,,,
850732439,,,1 score,23 x 32 cm.,,,
850732525,,,1 part,23 x 32 cm,,,
850732600,,,1 score,24 x 33 cm.,,,
850732601,,,1 score,24 x 33 cm.,,,
850732602,,,1 score,24 x 33 cm.,,,
850732603,,,1 score,24 x 33 cm.,,,
850732604,,,1 score,24 x 33 cm.,,,
850732605,,,1 score,24 x 33 cm,,,
850732606,,,1 score,24 x 33 cm.,,,
850732607,,,1 score,24 x 33 cm.,,,
850810281,[Prato],,6 parts,"290 mm, 220x290 mm (2cb)",,,
850732645,,,1 part,23 x 32 cm,,,
850732646,,,,,,,
850732647,,,1 part,23 x 33 cm,,,
850732703,,,,,,,
850732704,,,,,,,
850732705,,,,,,,
850732706,,,,,,,
850732707,,,,,,,
850732708,,,,,,,
850814668,[Prato],[1850-1899],6 parts,"310 × 225 mm, 300 × 215 mm (fl)",,,
850809654,[Prato],[1790-1799],6 parts,300 mm,,,
850809856,[Prato],[1800-1849],6 parts,220X290 mm,,,
850814871,[Prato],[1900-1949],6 parts,"295 × 220 mm, 220 × 295 mm (trb)",,,
850732714,,,1 score,23 x 32 cm,,,
850732761,,,1 score,23 x 32 cm,,,
850732762,,,1 score,23 x 32 cm,,,
850732763,,,1 score,23 x 32 cm,,,
850732764,,,1 score,23 x 32 cm.,,,
850732765,,,1 score,23 x 32 cm,,,
850732766,,,1 score,23 x 32 cm.,,,
850732767,,,1 score,23 x 32 cm,,,
850732768,,,1 score,23 x 32 cm.,,,
850732769,,,1 score,23 x 32 cm.,,,
850732770,,,1 score,23 x 32 cm,,,
850732822,,,1 score,23 x 32 cm,,,
850732823,,,1 score,24 x 32 cm,,,
850732824,,,1 score,24 x 32 cm.,,,
850732825,,,1 score,24 x 32 cm.,,,
850732826,,,1 score,24 x 32 cm.,,,
850732827,,,1 score,23 x 32 cm,,,
850732828,,,1 score,23 x 32 cm,,,
850732829,,,1 score,23 x 32 cm.,,,
850732830,,,1 score,24 x 32 cm,,,
850732831,,,1 score,24 x 32 cm,,,
850733027,,,1 score,26 x 33 cm.,,,
850733029,,,1 score,33 x 26 cm,,,
850733030,,,1 score,33 x 26 cm,,,
850733031,,,1 part,33 x 23 cm,,,
850733033,,,,,,,
850733038,,,1 score,23 x 34 cm.,,,
850733039,,,1 score,23 x 34 cm.,,,
850733040,,,1 score,23 x 34 cm.,,,
850733158,,,,,,,
850733159,,,,,,,
850733160,,,,,,,
850733161,,,,,,,
850733162,,,,,,,
850733163,,,,,,,
850733164,,,,,,,
850733165,,,,,,,
850733166,,,,,,,
850733167,,,,,,,
850733188,,,1 score,34 x 25 cm.,,,
850733189,,,1 score,34 x 24 cm.,,,
850733253,,,1 part,31 x 23 cm,,,
850733254,,,1 part,32 x 23 cm,,,
850733255,,,,,,,
850733269,,,1 score,22 x 31 cm,,,
850733270,,,1 score,22 x 31 cm.,,,
850733271,,,1 score,22 x 31 cm,,,
850733272,,,1 score,22 x 31 cm.,,,
850733273,,,1 score,22 x 31 cm.,,,
850733274,,,1 score,22 x 31 cm.,,,
850733275,,,1 score,22 x 31 cm.,,,
850733276,,,1 score,22 x 31 cm.,,,
850733277,,,1 score,22 x 31 cm.,,,
850733278,,,1 score,22 x 31 cm.,,,
850733279,,,1 score,23 x 32 cm.,,,
850733280,,,1 score,23 x 32 cm,,,
850733443,,,1 score,23 x 32 cm,,,
850733444,,,1 score,24 x 33 cm.,,,
850733445,,,1 score,23 x 31 cm.,,,
850733446,,,1 score,23 x 32 cm.,,,
850733447,,,1 score,24 x 32 cm.,,,
850733457,,,1 score,32 x 23 cm,,,
850733458,,,1 score,32 x 24 cm,,,
850733459,,,1 score,32 x 23 cm,,,
850733460,,,1 score + parts,23 x 32 cm,,,
850733464,,,1 score,23 x 34 cm,,,
850733465,,,1 score,23 x 34 cm.,,,
850733466,,,1 score,23 x 34 cm.,,,
850733467,,,1 score,23 x 34 cm.,,,
850733468,,,1 score,23 x 34 cm.,,,
850733469,,,1 score,23 x 34 cm.,,,
850733470,,,1 score,23 x 34 cm.,,,
850733471,,,1 score,23 x 34 cm.,,,
850733472,,,1 score,23 x 34 cm.,,,
850733473,,,1 score,23 x 34 cm.,,,
850733474,,,1 score,23 x 34 cm.,,,
850733475,,,1 score,23 x 34 cm.,,,
850733476,,,1 score,23 x 34 cm.,,,
850733477,,,1 score,23 x 34 cm.,,,
850733619,,,,15 x 20 cm.,,,
850733620,,,,15 x 20 cm.,,,
850733621,,,,34 x 22 cm,,,
850733622,,,,,,,
850733623,,,,21 x 15 cm.,,,
850733624,,,,22 x 15 cm,,,
850733627,,,,21 x 15 cm.,,,
850733749,,,,16 x 11 cm.,,,
850733750,,,,15 x 10 cm.,,,
850733751,,,,15 x 20 cm,,,
850733752,,,,16 x 11 cm.,,,
850733753,,,,16 x 11 cm.,,,
850733754,,,,15 x 10 cm,,,
850733755,,,,16 x 11 cm.,,,
850733756,,,,15 x 11 cm,,,
850733757,,,,20 x 14 cm.,,,
850733758,,,,22 x 14 cm.,,,
850733759,,,,15 x 20 cm.,,,
850733760,,,,12 x 17 cm,,,
850733761,,,,,,,
850733891,,,,,,,
850733892,,,,16 x 11 cm,,,
850733893,,,,16 x 11 cm,,,
850733894,,,,15 x 10 cm,,,
850733895,,,,15 x 10 cm,,,
850733896,,,,16 x 11 cm,,,
850733897,,,,,,,
850733898,,,,21 x 16 cm,,,
850733899,,,,21 x 16 cm.,,,
850733900,Ulderic Rolandi,,,,,,
850733901,,,,16 x 11 cm.,,,
850733903,,,,22 x 15 cm,,,
850734023,,,,22 x 14 cm.,,,
850734024,,,,15 x 11 cm.,,,
850734025,,,,16 x 11 cm.,,,
850734026,,,,16 x 11 cm.,,,
850734027,,,,16 x 11 cm,,,
850734028,,,,,,,
850734030,,,,19 x 13 cm.,,,
850734031,,,,15 x 20 cm.,,,
850734032,,,,20 x 15 cm,,,
850734033,,,,,,,
850734044,,,,,,,
850734045,,,,,,,
850734048,,,,,,,
850734049,,,,,,,
850734050,,,,,,,
850734051,,,,,,,
850734052,,,,,,,
850734053,,,,,,,
850734054,,,,,,,
850734056,,,,,,,
850734057,,,,,,,
850734058,,,,,,,
850734059,,,,,,,
850734152,,,,20 x 13 cm,,,
850734153,,,,15 x 20 cm,,,
850734154,,,,15 x 11 cm,,,
850734155,,,,15 x 20 cm.,,,
850734156,,,,22 x 14 cm,,,
850734157,,,,,,,
850734158,,,,16 x 11 cm.,,,
850734159,,,,15 x 11 cm.,,,
850734160,,,,18 x 14 cm.,,,
850734161,,,,18 x 12 cm,,,
850734162,,,,15 x 20 cm.,,,
850734163,,,,18 x 12 cm.,,,
850734164,,,,24 x 18 cm.,,,
850734165,,,,,,,
850734166,,,,,,,
850734168,,,,,,,
850734169,,,,,,,
850734186,,,,,,,
850734275,,,,29 x 21 cm.,,,
850734276,,,,32 x 22 cm,,,
850734277,,,,29 x 22 cm,,,
850734278,,,,22 x 14 cm.,,,
850734279,,,,16 x 11 cm.,,,
850734280,,,,15 x 20 cm.,,,
850734281,,,,16 x 11 cm.,,,
850734282,,,,18 x 12 cm.,,,
850734286,,,,15 x 20 cm,,,
850734287,,,,,,,
850734289,,,,,,,
850734290,,,,,,,
850734292,,,,,,,
850734301,,,,,,,
850734302,,,,,,,
850734303,,,,,,,
850734304,,,,,,,
850734399,,,,15 x 10 cm,,,
850734400,,,,13 x 17 cm,,,
850734404,,,,,,,
850734514,,,,15 x 11 cm,,,
850734515,,,,16 x 11 cm,,,
850734516,,,,15 x 10 cm,,,
850734517,,,,,,,
850734518,,,,17 x 11 cm.,,,
850734520,,,,,,,
850734521,,,,,,,
850734522,,,,,,,
850734523,,,,,,,
850734524,,,,,,,
850734649,,,,16 x 11 cm.,,,
850734650,,,,15 x 10 cm.,,,
850734651,,,,16 x 11 cm,,,
850734652,,,,17 x 11 cm.,,,
850734653,,,,,,,
850734654,,,,,,,
850734655,,,,,,,
850734656,,,,,,,
850734788,,,,,,,
850734789,,,,,,,
850734796,,,,,,,
850734951,,,,,,,
850734953,,,,,,,
850734954,,,,,,,
850734955,,,,,,,
850735487,,,,22 x 14 cm,,,
850735488,,,,22 x 14 cm.,,,
850735619,,,,15 x 20 cm.,,,
850735620,,,,21 x 16 cm.,,,
850735621,,,,22 x 14 cm.,,,
850735622,,,,22 x 14 cm.,,,
850735623,,,,22 x 14 cm.,,,
850735624,,,,22 x 14 cm.,,,
850735625,,,,22 x 14 cm.,,,
850735626,,,,22 x 14 cm.,,,
850735627,,,,22 x 14 cm.,,,
850735628,,,,15 x 11 cm.,,,
850735629,,,,35 x 21 cm,,,
850735630,,,,22 x 13 cm.,,,
850735749,,,,15 x 11 cm,,,
850735750,,,,15 x 20 cm.,,,
850735751,,,,16 x 11 cm.,,,
850735752,,,,15 x 20 cm.,,,
850735753,,,,16 x 12 cm.,,,
850735754,,,,21 x 14 cm,,,
850735755,,,,16 x 11 cm,,,
850735756,,,,20 x 14 cm,,,
850735757,,,,20 x 14 cm,,,
850735758,,,,20 x 14 cm.,,,
850735759,,,,20 x 14 cm.,,,
850735760,,,,20 x 14 cm.,,,
850735761,,,,29 x 16 cm,,,
850735762,,,,23 x 16 cm,,,
850735763,,,,23 x 16 cm.,,,
850735764,,,,23 x 16 cm.,,,
850735765,,,,23 x 16 cm.,,,
850735767,,,,,,,
850735768,,,,,,,
850735769,,,,,,,
850735953,,,,,,,
850735954,,,,,,,
850735955,,,,,,,
850735956,,,,,,,
850735957,,,,,,,
850735958,,,,,,,
850735959,,,,,,,
850735960,,,,,,,
850735961,,,,,,,
850736089,,,,,,,
850736090,,,,,,,
850736091,,,,,,,
850736092,,,,,,,
850736093,,,,,,,
850736094,,,,,,,
850736095,,,,,,,
850736204,,,,,,,
850736205,,,,,,,
850736206,,,,,,,
850736207,,,,,,,
850736208,,,,,,,
850736209,,,,,,,
850736210,,,,,,,
850736211,,,,,,,
850736219,,,,,,,
850736228,,,,,,,
850736229,,,,,,,
850736230,,,,,,,
850736231,,,,,,,
850736232,,,,,,,
850736233,,,,,,,
850736234,,,,,,,
850736235,,,,,,,
850736236,,,,,,,
850736237,,,,,,,
850736238,,,,,,,
